department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2005,1,Ingresos referidos de otros establecimientos,1
Cochabamba,30201,Aiquile,2005,1,Ingresos referidos de otros establecimientos,13
Santa Cruz,71501,Ascencion De Guarayos,2005,1,Ingresos referidos de otros establecimientos,17
Potosí,50802,Atocha,2005,1,Ingresos referidos de otros establecimientos,47
Cochabamba,30301,Ayopaya (v. De Independencia),2005,1,Ingresos referidos de otros establecimientos,4
Chuquisaca,10201,Azurduy,2005,1,Ingresos referidos de otros establecimientos,1
Potosí,50301,Betanzos,2005,1,Ingresos referidos de otros establecimientos,9
Cochabamba,31501,Bolivar,2005,1,Ingresos referidos de otros establecimientos,2
Santa Cruz,70707,Boyuibe,2005,1,Ingresos referidos de otros establecimientos,1
Santa Cruz,70703,Cabezas,2005,1,Ingresos referidos de otros establecimientos,2
Chuquisaca,10701,Camargo,2005,1,Ingresos referidos de otros establecimientos,5
Santa Cruz,70706,Camiri,2005,1,Ingresos referidos de otros establecimientos,11
La Paz,22001,Caranavi,2005,1,Ingresos referidos de otros establecimientos,11
Oruro,40201,Challapata,2005,1,Ingresos referidos de otros establecimientos,1
Santa Cruz,70702,Charagua,2005,1,Ingresos referidos de otros establecimientos,2
Potosí,50202,Chayanta,2005,1,Ingresos referidos de otros establecimientos,3
La Paz,21101,Chulumani (v. De La Libertad),2005,1,Ingresos referidos de otros establecimientos,2
Pando,90101,Cobija,2005,1,Ingresos referidos de otros establecimientos,46
Cochabamba,30101,Cochabamba,2005,1,Ingresos referidos de otros establecimientos,3
Santa Cruz,71301,Comarapa,2005,1,Ingresos referidos de otros establecimientos,1
Santa Cruz,71101,Concepcion,2005,1,Ingresos referidos de otros establecimientos,1
La Paz,21401,Coroico,2005,1,Ingresos referidos de otros establecimientos,11
Potosí,50601,Cotagaita,2005,1,Ingresos referidos de otros establecimientos,4
Santa Cruz,70102,Cotoca,2005,1,Ingresos referidos de otros establecimientos,7
Santa Cruz,70704,Cuevo,2005,1,Ingresos referidos de otros establecimientos,1
La Paz,20105,El Alto,2005,1,Ingresos referidos de otros establecimientos,225
Santa Cruz,71503,El Puente(stc),2005,1,Ingresos referidos de otros establecimientos,4
Santa Cruz,70105,El Torno,2005,1,Ingresos referidos de otros establecimientos,7
Tarija,60601,Entre Rios,2005,1,Ingresos referidos de otros establecimientos,1
Santa Cruz,71004,Fernandez Alonso,2005,1,Ingresos referidos de otros establecimientos,1
La Paz,20602,Guanay,2005,1,Ingresos referidos de otros establecimientos,1
Beni,80202,Guayaramerin,2005,1,Ingresos referidos de otros establecimientos,45
Santa Cruz,70705,Gutierrez,2005,1,Ingresos referidos de otros establecimientos,4
Chuquisaca,10502,Huacareta,2005,1,Ingresos referidos de otros establecimientos,3
La Paz,20101,La Paz,2005,1,Ingresos referidos de otros establecimientos,1035
Santa Cruz,70701,Lagunillas,2005,1,Ingresos referidos de otros establecimientos,2
Chuquisaca,10903,Las Carreras,2005,1,Ingresos referidos de otros establecimientos,1
Potosí,50203,Llallagua,2005,1,Ingresos referidos de otros establecimientos,20
Chuquisaca,11003,Machareti,2005,1,Ingresos referidos de otros establecimientos,3
Beni,80801,Magdalena,2005,1,Ingresos referidos de otros establecimientos,8
Santa Cruz,70903,Mairana,2005,1,Ingresos referidos de otros establecimientos,4
La Paz,20402,Mocomoco,2005,1,Ingresos referidos de otros establecimientos,1
Chuquisaca,10501,Monteagudo,2005,1,Ingresos referidos de otros establecimientos,4
Santa Cruz,71001,Montero,2005,1,Ingresos referidos de otros establecimientos,83
Oruro,40101,Oruro,2005,1,Ingresos referidos de otros establecimientos,73
Chuquisaca,10401,Padilla,2005,1,Ingresos referidos de otros establecimientos,24
La Paz,21104,Palos Blancos,2005,1,Ingresos referidos de otros establecimientos,3
Santa Cruz,70902,Pampa Grande,2005,1,Ingresos referidos de otros establecimientos,1
Oruro,40602,Pazña,2005,1,Ingresos referidos de otros establecimientos,1
Cochabamba,31202,Pojo (cbba),2005,1,Ingresos referidos de otros establecimientos,1
Santa Cruz,70601,Portachuelo,2005,1,Ingresos referidos de otros establecimientos,3
Potosí,50101,Potosi,2005,1,Ingresos referidos de otros establecimientos,105
La Paz,20401,Puerto Acosta,2005,1,Ingresos referidos de otros establecimientos,13
Santa Cruz,71402,Puerto Quijarro,2005,1,Ingresos referidos de otros establecimientos,5
Pando,90201,Puerto Rico,2005,1,Ingresos referidos de otros establecimientos,3
