department,municipality_id,municipality,year,month,population,value
Santa Cruz,71501,Ascencion De Guarayos,2006,1,Tratamientos iniciados con esquema l,1
Potosí,50802,Atocha,2006,1,Tratamientos iniciados con esquema l,2
Tarija,60202,Bermejo,2006,1,Tratamientos iniciados con esquema l,7
Santa Cruz,70401,Buena Vista,2006,1,Tratamientos iniciados con esquema l,2
Santa Cruz,70703,Cabezas,2006,1,Tratamientos iniciados con esquema l,3
Potosí,51102,"Caiza ""d""",2006,1,Tratamientos iniciados con esquema l,1
La Paz,21003,Cajuata,2006,1,Tratamientos iniciados con esquema l,1
Chuquisaca,10701,Camargo,2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,70706,Camiri,2006,1,Tratamientos iniciados con esquema l,3
Cochabamba,30701,Capinota,2006,1,Tratamientos iniciados con esquema l,1
La Paz,22001,Caranavi,2006,1,Tratamientos iniciados con esquema l,13
Oruro,40201,Challapata,2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,70702,Charagua,2006,1,Tratamientos iniciados con esquema l,3
Cochabamba,31204,Chimore,2006,1,Tratamientos iniciados con esquema l,4
Cochabamba,30801,Cliza,2006,1,Tratamientos iniciados con esquema l,1
Pando,90101,Cobija,2006,1,Tratamientos iniciados con esquema l,2
Cochabamba,30101,Cochabamba,2006,1,Tratamientos iniciados con esquema l,33
Cochabamba,30905,Colcapirhua,2006,1,Tratamientos iniciados con esquema l,4
Cochabamba,31002,Colomi,2006,1,Tratamientos iniciados con esquema l,1
Potosí,50401,Colquechaca,2006,1,Tratamientos iniciados con esquema l,1
La Paz,20304,Comanche,2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,71101,Concepcion,2006,1,Tratamientos iniciados con esquema l,1
La Paz,21401,Coroico,2006,1,Tratamientos iniciados con esquema l,1
Potosí,50601,Cotagaita,2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,70102,Cotoca,2006,1,Tratamientos iniciados con esquema l,2
Santa Cruz,71106,Cuatro Cañadas,2006,1,Tratamientos iniciados con esquema l,1
Oruro,40401,Curahuara De Carangas,2006,1,Tratamientos iniciados con esquema l,1
La Paz,20804,Desaguadero,2006,1,Tratamientos iniciados con esquema l,1
La Paz,20105,El Alto,2006,1,Tratamientos iniciados con esquema l,48
Santa Cruz,71503,El Puente(stc),2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,70105,El Torno,2006,1,Tratamientos iniciados con esquema l,5
Santa Cruz,71004,Fernandez Alonso,2006,1,Tratamientos iniciados con esquema l,1
Santa Cruz,71002,General Saavedra,2006,1,Tratamientos iniciados con esquema l,3
La Paz,20602,Guanay,2006,1,Tratamientos iniciados con esquema l,2
Beni,80202,Guayaramerin,2006,1,Tratamientos iniciados con esquema l,1
Oruro,40701,Huanuni,2006,1,Tratamientos iniciados con esquema l,1
La Paz,21005,Ichoca,2006,1,Tratamientos iniciados con esquema l,1
Chuquisaca,10703,Incahuasi,2006,1,Tratamientos iniciados con esquema l,4
La Paz,21001,Inquisivi,2006,1,Tratamientos iniciados con esquema l,1
La Paz,21105,La Asunta,2006,1,Tratamientos iniciados con esquema l,5
Santa Cruz,70104,La Guardia,2006,1,Tratamientos iniciados con esquema l,5
La Paz,20101,La Paz,2006,1,Tratamientos iniciados con esquema l,84
Santa Cruz,70701,Lagunillas,2006,1,Tratamientos iniciados con esquema l,1
La Paz,21202,Laja,2006,1,Tratamientos iniciados con esquema l,1
