department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,6
La Paz,20201,Achacachi,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,104
La Paz,20104,Achocalla,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,18
Cochabamba,30201,Aiquile,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,80
Cochabamba,31303,Alalay,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,4
Chuquisaca,10404,Alcala,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,7
La Paz,20202,Ancoraimes,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,33
Oruro,41201,Andamarca,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,8
Oruro,40603,Antequera,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,4
Cochabamba,30402,Anzaldo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,14
La Paz,20701,Apolo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,25
Potosí,51301,Arampampa,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,5
Cochabamba,30501,Arani,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,13
Cochabamba,30403,Arbieto,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,7
Cochabamba,30601,Arque,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,24
Santa Cruz,71501,Ascencion De Guarayos,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,89
Potosí,50802,Atocha,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,6
La Paz,20503,Aucapata,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,5
La Paz,20502,Ayata,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,14
La Paz,21303,Ayo Ayo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,12
Cochabamba,30301,Ayopaya (v. De Independencia),2007,1,Mujeres embarazadas que recibieron 90 tabletas de,40
Chuquisaca,10201,Azurduy,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,17
La Paz,21203,Batallas,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,21
Beni,80802,Baures,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,6
Oruro,41202,Belen De Andamarca,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,2
Pando,90104,Bella Flor,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,5
Tarija,60202,Bermejo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,29
Potosí,50301,Betanzos,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,29
Cochabamba,31501,Bolivar,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,19
Pando,90103,Bolpebra,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,2
Santa Cruz,70707,Boyuibe,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,10
Santa Cruz,70401,Buena Vista,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,38
Santa Cruz,70703,Cabezas,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,25
La Paz,20905,Cairoma,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,17
Potosí,51102,"Caiza ""d""",2007,1,Mujeres embarazadas que recibieron 90 tabletas de,10
La Paz,21003,Cajuata,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,25
La Paz,20303,Calacoto,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,10
La Paz,21304,Calamarca,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,17
Chuquisaca,10701,Camargo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,40
Chuquisaca,10901,Camataqui (c. Villa Abecia),2007,1,Mujeres embarazadas que recibieron 90 tabletas de,1
Santa Cruz,70706,Camiri,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,87
Cochabamba,30701,Capinota,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,51
La Paz,20302,Caquiaviri,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,12
Oruro,40102,Caracollo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,43
La Paz,22001,Caranavi,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,174
Tarija,60302,Carapari,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,20
Potosí,50702,Caripuyo,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,12
Santa Cruz,71403,Carmen Rivero Torrez,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,6
La Paz,21902,Catacora,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,7
La Paz,21803,Chacarilla,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,1
Oruro,40201,Challapata,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,69
Potosí,50302,Chaqui,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,3
Santa Cruz,70702,Charagua,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,78
La Paz,20305,Charaña,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,7
Potosí,50202,Chayanta,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,17
Cochabamba,31204,Chimore,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,94
La Paz,21101,Chulumani (v. De La Libertad),2007,1,Mujeres embarazadas que recibieron 90 tabletas de,28
La Paz,20501,Chuma,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,13
Cochabamba,30801,Cliza,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,30
Pando,90101,Cobija,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,115
Cochabamba,30101,Cochabamba,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,477
Cochabamba,30905,Colcapirhua,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,32
Potosí,50901,"Colcha ""k""",2007,1,Mujeres embarazadas que recibieron 90 tabletas de,8
La Paz,21307,Collana,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,2
Cochabamba,31002,Colomi,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,60
Santa Cruz,70603,Colpa Belgica,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,9
Potosí,50401,Colquechaca,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,62
La Paz,21306,Colquencha,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,19
La Paz,21004,Colquiri,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,30
La Paz,20304,Comanche,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,3
Santa Cruz,71301,Comarapa,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,23
La Paz,20605,Combaya,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,2
Santa Cruz,71101,Concepcion,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,27
La Paz,21701,Copacabana,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,20
La Paz,21402,Coripata,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,31
La Paz,20301,Coro Coro,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,9
La Paz,21401,Coroico,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,8
Oruro,40301,Corque,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,3
Potosí,50601,Cotagaita,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,26
Santa Cruz,70102,Cotoca,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,17
Santa Cruz,71106,Cuatro Cañadas,2007,1,Mujeres embarazadas que recibieron 90 tabletas de,9
