department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2008,1,O.P.V. 2DA DOSIS / DENTRO,3
La Paz,20201,Achacachi,2008,1,O.P.V. 2DA DOSIS / DENTRO,30
La Paz,20104,Achocalla,2008,1,O.P.V. 2DA DOSIS / DENTRO,8
Cochabamba,30201,Aiquile,2008,1,O.P.V. 2DA DOSIS / DENTRO,24
Cochabamba,31303,Alalay,2008,1,O.P.V. 2DA DOSIS / DENTRO,2
Chuquisaca,10404,Alcala,2008,1,O.P.V. 2DA DOSIS / DENTRO,5
La Paz,20202,Ancoraimes,2008,1,O.P.V. 2DA DOSIS / DENTRO,1
Oruro,41201,Andamarca,2008,1,O.P.V. 2DA DOSIS / DENTRO,2
Oruro,40603,Antequera,2008,1,O.P.V. 2DA DOSIS / DENTRO,7
Cochabamba,30402,Anzaldo,2008,1,O.P.V. 2DA DOSIS / DENTRO,4
La Paz,20701,Apolo,2008,1,O.P.V. 2DA DOSIS / DENTRO,15
Potosí,51301,Arampampa,2008,1,O.P.V. 2DA DOSIS / DENTRO,1
Cochabamba,30501,Arani,2008,1,O.P.V. 2DA DOSIS / DENTRO,6
Cochabamba,30403,Arbieto,2008,1,O.P.V. 2DA DOSIS / DENTRO,8
Cochabamba,30601,Arque,2008,1,O.P.V. 2DA DOSIS / DENTRO,4
Santa Cruz,71501,Ascencion De Guarayos,2008,1,O.P.V. 2DA DOSIS / DENTRO,39
Potosí,50802,Atocha,2008,1,O.P.V. 2DA DOSIS / DENTRO,19
La Paz,20503,Aucapata,2008,1,O.P.V. 2DA DOSIS / DENTRO,0
La Paz,20502,Ayata,2008,1,O.P.V. 2DA DOSIS / DENTRO,3
La Paz,21303,Ayo Ayo,2008,1,O.P.V. 2DA DOSIS / DENTRO,3
Cochabamba,30301,Ayopaya (v. De Independencia),2008,1,O.P.V. 2DA DOSIS / DENTRO,9
Chuquisaca,10201,Azurduy,2008,1,O.P.V. 2DA DOSIS / DENTRO,11
La Paz,21203,Batallas,2008,1,O.P.V. 2DA DOSIS / DENTRO,13
Beni,80802,Baures,2008,1,O.P.V. 2DA DOSIS / DENTRO,1
Oruro,41202,Belen De Andamarca,2008,1,O.P.V. 2DA DOSIS / DENTRO,0
Potosí,50104,Belen De Urmiri,2008,1,O.P.V. 2DA DOSIS / DENTRO,2
Tarija,60202,Bermejo,2008,1,O.P.V. 2DA DOSIS / DENTRO,49
