department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,71
Cochabamba,30201,Aiquile,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,270
Chuquisaca,10404,Alcala,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,67
Oruro,41201,Andamarca,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,74
Oruro,40603,Antequera,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,42
Cochabamba,30402,Anzaldo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,90
La Paz,20701,Apolo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,4
Cochabamba,30501,Arani,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,69
Cochabamba,30403,Arbieto,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,37
Cochabamba,30601,Arque,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,137
Santa Cruz,71501,Ascencion De Guarayos,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,11
La Paz,21303,Ayo Ayo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,77
Cochabamba,30301,Ayopaya (v. De Independencia),2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,233
Chuquisaca,10201,Azurduy,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,223
Beni,80802,Baures,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,68
Oruro,41202,Belen De Andamarca,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,4
Potosí,50104,Belen De Urmiri,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,19
Tarija,60202,Bermejo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,559
Potosí,50301,Betanzos,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,571
Cochabamba,31501,Bolivar,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,193
Santa Cruz,70707,Boyuibe,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,55
Santa Cruz,70401,Buena Vista,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,2
Potosí,51102,"Caiza ""d""",2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,125
La Paz,20303,Calacoto,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,18
La Paz,21304,Calamarca,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,159
Chuquisaca,10701,Camargo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,275
Chuquisaca,10901,Camataqui (c. Villa Abecia),2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,55
Santa Cruz,70706,Camiri,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,13
Cochabamba,30701,Capinota,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,245
Oruro,40102,Caracollo,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,336
La Paz,22001,Caranavi,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,1
Tarija,60302,Carapari,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,311
La Paz,21902,Catacora,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,26
Oruro,40201,Challapata,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,384
Potosí,50302,Chaqui,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,76
Santa Cruz,70702,Charagua,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,9
Potosí,50202,Chayanta,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,62
Oruro,40903,Chipaya,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,36
Oruro,40302,Choque Cota,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,22
La Paz,20501,Chuma,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,84
Cochabamba,30801,Cliza,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,148
Pando,90101,Cobija,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,482
Cochabamba,30101,Cochabamba,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,8
Oruro,40902,Coipasa,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,6
Cochabamba,30905,Colcapirhua,2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,166
Potosí,50901,"Colcha ""k""",2009,1,Ninos (as) 6 a 23 meses que reciben Alimento complementario: Nutribebe,96
