department,municipality_id,municipality,year,month,population,value
Chuquisaca,10201,Azurduy,2010,1,Numero de viviendas evaluadas entomologicamente,8
Tarija,60202,Bermejo,2010,1,Numero de viviendas evaluadas entomologicamente,1
Santa Cruz,70703,Cabezas,2010,1,Numero de viviendas evaluadas entomologicamente,175
La Paz,22001,Caranavi,2010,1,Numero de viviendas evaluadas entomologicamente,184
Cochabamba,31204,Chimore,2010,1,Numero de viviendas evaluadas entomologicamente,286
Santa Cruz,70105,El Torno,2010,1,Numero de viviendas evaluadas entomologicamente,859
Cochabamba,31206,Entre Rios Cbba,2010,1,Numero de viviendas evaluadas entomologicamente,2
Santa Cruz,71004,Fernandez Alonso,2010,1,Numero de viviendas evaluadas entomologicamente,21
La Paz,20602,Guanay,2010,1,Numero de viviendas evaluadas entomologicamente,340
Beni,80202,Guayaramerin,2010,1,Numero de viviendas evaluadas entomologicamente,3
Santa Cruz,70705,Gutierrez,2010,1,Numero de viviendas evaluadas entomologicamente,88
Pando,90402,Ingavi (humaita),2010,1,Numero de viviendas evaluadas entomologicamente,1
Santa Cruz,70701,Lagunillas,2010,1,Numero de viviendas evaluadas entomologicamente,76
Chuquisaca,10501,Monteagudo,2010,1,Numero de viviendas evaluadas entomologicamente,1064
La Paz,21104,Palos Blancos,2010,1,Numero de viviendas evaluadas entomologicamente,94
Santa Cruz,70804,Postrer Valle,2010,1,Numero de viviendas evaluadas entomologicamente,170
La Paz,21502,San Buena Ventura,2010,1,Numero de viviendas evaluadas entomologicamente,60
Santa Cruz,70302,San Miguel De Velasco,2010,1,Numero de viviendas evaluadas entomologicamente,44
Santa Cruz,70303,San Rafael,2010,1,Numero de viviendas evaluadas entomologicamente,25
Cochabamba,31602,Shinaota,2010,1,Numero de viviendas evaluadas entomologicamente,120
Santa Cruz,70403,Yapacani,2010,1,Numero de viviendas evaluadas entomologicamente,41
Santa Cruz,70703,Cabezas,2010,2,Numero de viviendas evaluadas entomologicamente,225
Santa Cruz,70706,Camiri,2010,2,Numero de viviendas evaluadas entomologicamente,121
Santa Cruz,70105,El Torno,2010,2,Numero de viviendas evaluadas entomologicamente,1845
Cochabamba,31206,Entre Rios Cbba,2010,2,Numero de viviendas evaluadas entomologicamente,165
La Paz,20602,Guanay,2010,2,Numero de viviendas evaluadas entomologicamente,336
Beni,80202,Guayaramerin,2010,2,Numero de viviendas evaluadas entomologicamente,4
Santa Cruz,70705,Gutierrez,2010,2,Numero de viviendas evaluadas entomologicamente,16
La Paz,21501,Ixiamas,2010,2,Numero de viviendas evaluadas entomologicamente,33
Santa Cruz,70701,Lagunillas,2010,2,Numero de viviendas evaluadas entomologicamente,45
Cochabamba,31205,Puerto Villarroel,2010,2,Numero de viviendas evaluadas entomologicamente,80
Beni,80201,Riberalta,2010,2,Numero de viviendas evaluadas entomologicamente,18
Santa Cruz,70402,San Carlos,2010,2,Numero de viviendas evaluadas entomologicamente,538
Santa Cruz,70101,Santa Cruz De La Sierra,2010,2,Numero de viviendas evaluadas entomologicamente,29
Beni,80303,Santa Rosa,2010,2,Numero de viviendas evaluadas entomologicamente,10
Cochabamba,30903,Tiquipaya,2010,2,Numero de viviendas evaluadas entomologicamente,19
Chuquisaca,10201,Azurduy,2010,3,Numero de viviendas evaluadas entomologicamente,2
Santa Cruz,70703,Cabezas,2010,3,Numero de viviendas evaluadas entomologicamente,517
Santa Cruz,70706,Camiri,2010,3,Numero de viviendas evaluadas entomologicamente,40
Santa Cruz,70603,Colpa Belgica,2010,3,Numero de viviendas evaluadas entomologicamente,114
Santa Cruz,71503,El Puente(stc),2010,3,Numero de viviendas evaluadas entomologicamente,102
Santa Cruz,70105,El Torno,2010,3,Numero de viviendas evaluadas entomologicamente,1127
Beni,80202,Guayaramerin,2010,3,Numero de viviendas evaluadas entomologicamente,3
Santa Cruz,70705,Gutierrez,2010,3,Numero de viviendas evaluadas entomologicamente,109
Santa Cruz,70104,La Guardia,2010,3,Numero de viviendas evaluadas entomologicamente,46
Santa Cruz,70701,Lagunillas,2010,3,Numero de viviendas evaluadas entomologicamente,263
Chuquisaca,11003,Machareti,2010,3,Numero de viviendas evaluadas entomologicamente,221
