department,municipality_id,municipality,year,month,population,value
La Paz,20104,Achocalla,2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,71501,Ascencion De Guarayos,2011,1,DPT 3RA DOSIS / DENTRO,5
Cochabamba,30101,Cochabamba,2011,1,DPT 3RA DOSIS / DENTRO,27
La Paz,20301,Coro Coro,2011,1,DPT 3RA DOSIS / DENTRO,2
Santa Cruz,70102,Cotoca,2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70704,Cuevo,2011,1,DPT 3RA DOSIS / DENTRO,1
La Paz,20804,Desaguadero,2011,1,DPT 3RA DOSIS / DENTRO,1
La Paz,20105,El Alto,2011,1,DPT 3RA DOSIS / DENTRO,23
Santa Cruz,71503,El Puente(stc),2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70105,El Torno,2011,1,DPT 3RA DOSIS / DENTRO,1
Cochabamba,31206,Entre Rios Cbba,2011,1,DPT 3RA DOSIS / DENTRO,1
Beni,80202,Guayaramerin,2011,1,DPT 3RA DOSIS / DENTRO,3
Santa Cruz,70104,La Guardia,2011,1,DPT 3RA DOSIS / DENTRO,4
La Paz,20101,La Paz,2011,1,DPT 3RA DOSIS / DENTRO,14
Chuquisaca,11003,Machareti,2011,1,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70903,Mairana,2011,1,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,71003,Mineros,2011,1,DPT 3RA DOSIS / DENTRO,2
Santa Cruz,71001,Montero,2011,1,DPT 3RA DOSIS / DENTRO,2
Cochabamba,30302,Morochata,2011,1,DPT 3RA DOSIS / DENTRO,0
Oruro,40101,Oruro,2011,1,DPT 3RA DOSIS / DENTRO,7
Santa Cruz,70502,Pailon,2011,1,DPT 3RA DOSIS / DENTRO,2
Pando,90102,Porvenir,2011,1,DPT 3RA DOSIS / DENTRO,1
Potosí,50101,Potosi,2011,1,DPT 3RA DOSIS / DENTRO,9
Cochabamba,31205,Puerto Villarroel,2011,1,DPT 3RA DOSIS / DENTRO,2
Cochabamba,31401,Punata,2011,1,DPT 3RA DOSIS / DENTRO,2
Cochabamba,30901,Quillacollo,2011,1,DPT 3RA DOSIS / DENTRO,1
Cochabamba,31001,Sacaba,2011,1,DPT 3RA DOSIS / DENTRO,1
Beni,80602,San Andres,2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,71105,San Antonio De Lomerio,2011,1,DPT 3RA DOSIS / DENTRO,0
Beni,80302,San Borja,2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70402,San Carlos,2011,1,DPT 3RA DOSIS / DENTRO,2
Santa Cruz,70301,San Ignacio De Velasco,2011,1,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,DPT 3RA DOSIS / DENTRO,63
Cochabamba,30902,Sipe Sipe,2011,1,DPT 3RA DOSIS / DENTRO,3
Chuquisaca,10101,Sucre,2011,1,DPT 3RA DOSIS / DENTRO,9
La Paz,20603,Tacacoma,2011,1,DPT 3RA DOSIS / DENTRO,0
Tarija,60101,Tarija,2011,1,DPT 3RA DOSIS / DENTRO,1
Cochabamba,30903,Tiquipaya,2011,1,DPT 3RA DOSIS / DENTRO,0
Cochabamba,31201,Totora(cbba),2011,1,DPT 3RA DOSIS / DENTRO,1
Beni,80101,Trinidad,2011,1,DPT 3RA DOSIS / DENTRO,6
Cochabamba,31003,Villa Tunari,2011,1,DPT 3RA DOSIS / DENTRO,4
Potosí,51501,Villazon,2011,1,DPT 3RA DOSIS / DENTRO,1
Cochabamba,30904,Vinto,2011,1,DPT 3RA DOSIS / DENTRO,2
Santa Cruz,70201,Warnes,2011,1,DPT 3RA DOSIS / DENTRO,2
Tarija,60301,Yacuiba,2011,1,DPT 3RA DOSIS / DENTRO,2
La Paz,20201,Achacachi,2011,2,DPT 3RA DOSIS / DENTRO,0
Cochabamba,30402,Anzaldo,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,71501,Ascencion De Guarayos,2011,2,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70703,Cabezas,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70706,Camiri,2011,2,DPT 3RA DOSIS / DENTRO,3
Oruro,40102,Caracollo,2011,2,DPT 3RA DOSIS / DENTRO,0
La Paz,22001,Caranavi,2011,2,DPT 3RA DOSIS / DENTRO,1
Tarija,60302,Carapari,2011,2,DPT 3RA DOSIS / DENTRO,1
Cochabamba,31204,Chimore,2011,2,DPT 3RA DOSIS / DENTRO,2
Pando,90101,Cobija,2011,2,DPT 3RA DOSIS / DENTRO,1
Cochabamba,30101,Cochabamba,2011,2,DPT 3RA DOSIS / DENTRO,12
Cochabamba,31002,Colomi,2011,2,DPT 3RA DOSIS / DENTRO,2
Santa Cruz,71101,Concepcion,2011,2,DPT 3RA DOSIS / DENTRO,1
La Paz,21401,Coroico,2011,2,DPT 3RA DOSIS / DENTRO,1
Potosí,50601,Cotagaita,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70102,Cotoca,2011,2,DPT 3RA DOSIS / DENTRO,1
La Paz,20105,El Alto,2011,2,DPT 3RA DOSIS / DENTRO,29
Santa Cruz,70105,El Torno,2011,2,DPT 3RA DOSIS / DENTRO,1
Beni,80202,Guayaramerin,2011,2,DPT 3RA DOSIS / DENTRO,1
La Paz,21001,Inquisivi,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70104,La Guardia,2011,2,DPT 3RA DOSIS / DENTRO,3
La Paz,20101,La Paz,2011,2,DPT 3RA DOSIS / DENTRO,14
La Paz,20607,Mapiri,2011,2,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,71001,Montero,2011,2,DPT 3RA DOSIS / DENTRO,2
Oruro,40101,Oruro,2011,2,DPT 3RA DOSIS / DENTRO,20
Cochabamba,31203,Pocona,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70601,Portachuelo,2011,2,DPT 3RA DOSIS / DENTRO,1
Pando,90102,Porvenir,2011,2,DPT 3RA DOSIS / DENTRO,4
Potosí,50101,Potosi,2011,2,DPT 3RA DOSIS / DENTRO,3
Cochabamba,31205,Puerto Villarroel,2011,2,DPT 3RA DOSIS / DENTRO,1
Cochabamba,30901,Quillacollo,2011,2,DPT 3RA DOSIS / DENTRO,6
Beni,80201,Riberalta,2011,2,DPT 3RA DOSIS / DENTRO,0
Beni,80304,Rurrenabaque,2011,2,DPT 3RA DOSIS / DENTRO,0
Cochabamba,31001,Sacaba,2011,2,DPT 3RA DOSIS / DENTRO,2
Beni,80602,San Andres,2011,2,DPT 3RA DOSIS / DENTRO,0
Beni,80302,San Borja,2011,2,DPT 3RA DOSIS / DENTRO,0
La Paz,21502,San Buena Ventura,2011,2,DPT 3RA DOSIS / DENTRO,1
Beni,80501,San Ignacio,2011,2,DPT 3RA DOSIS / DENTRO,0
Santa Cruz,70501,San Jose De Chiquitos,2011,2,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,71104,San Julian,2011,2,DPT 3RA DOSIS / DENTRO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,DPT 3RA DOSIS / DENTRO,46
Oruro,41401,Santiago De Huari,2011,2,DPT 3RA DOSIS / DENTRO,0
Cochabamba,30902,Sipe Sipe,2011,2,DPT 3RA DOSIS / DENTRO,1
Chuquisaca,10101,Sucre,2011,2,DPT 3RA DOSIS / DENTRO,8
