department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,0
La Paz,22002,Alto Beni,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,0
La Paz,22001,Caranavi,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
La Paz,21101,Chulumani (v. De La Libertad),2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Cochabamba,30101,Cochabamba,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,8
Cochabamba,30905,Colcapirhua,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,0
La Paz,20105,El Alto,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,14
Santa Cruz,70105,El Torno,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
La Paz,21601,Gral. J.j. Perez (charazani),2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
La Paz,21105,La Asunta,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Santa Cruz,70104,La Guardia,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
La Paz,20101,La Paz,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,28
Potosí,50203,Llallagua,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,3
Santa Cruz,71001,Montero,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Oruro,40101,Oruro,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,3
La Paz,21305,Patacamaya,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Potosí,50101,Potosi,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Cochabamba,31205,Puerto Villarroel,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Cochabamba,30901,Quillacollo,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,0
Cochabamba,31001,Sacaba,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Cochabamba,31403,San Benito,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Beni,80302,San Borja,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,11
Santa Cruz,70602,Santa Rosa Del Sara,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,2
La Paz,20308,Santiago De Callapa,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Cochabamba,31602,Shinaota,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,0
La Paz,20601,Sorata,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,1
Chuquisaca,10101,Sucre,2012,1,L 23.4 N DE TB EXTRAPULMONAR NUEVOS CANTIDAD / MASCULINO,9
