department,municipality_id,municipality,year,month,population,value
La Paz,20701,Apolo,2014,1,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,1
Beni,80202,Guayaramerin,2014,1,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,1
Beni,80302,San Borja,2014,1,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2014,1,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
La Paz,20608,Teoponte,2014,1,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Beni,80302,San Borja,2014,2,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
La Paz,20608,Teoponte,2014,2,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Santa Cruz,70401,Buena Vista,2014,3,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Santa Cruz,70105,El Torno,2014,3,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,6
Cochabamba,31205,Puerto Villarroel,2014,3,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,1
Cochabamba,30101,Cochabamba,2014,4,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,1
Santa Cruz,70105,El Torno,2014,4,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,1
Beni,80202,Guayaramerin,2014,4,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,2
Cochabamba,31205,Puerto Villarroel,2014,4,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Cochabamba,31001,Sacaba,2014,4,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
La Paz,20701,Apolo,2014,5,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
Pando,90101,Cobija,2014,5,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTANEA INICIADO / MASCULINO,0
