department,municipality_id,municipality,year,month,population,value
La Paz,22002,Alto Beni,2015,1,Implante subdermico: Usuarias Continuas,0
Santa Cruz,71501,Ascencion De Guarayos,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,30701,Capinota,2015,1,Implante subdermico: Usuarias Continuas,0
Pando,90101,Cobija,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,30101,Cochabamba,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,30905,Colcapirhua,2015,1,Implante subdermico: Usuarias Continuas,0
La Paz,20105,El Alto,2015,1,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70105,El Torno,2015,1,Implante subdermico: Usuarias Continuas,1
Pando,90402,Ingavi (humaita),2015,1,Implante subdermico: Usuarias Continuas,0
La Paz,20101,La Paz,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,31301,Mizque,2015,1,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10501,Monteagudo,2015,1,Implante subdermico: Usuarias Continuas,0
Oruro,40101,Oruro,2015,1,Implante subdermico: Usuarias Continuas,0
La Paz,20102,Palca,2015,1,Implante subdermico: Usuarias Continuas,0
Potosí,50101,Potosi,2015,1,Implante subdermico: Usuarias Continuas,0
Pando,90301,Puerto Gonzalo Moreno,2015,1,Implante subdermico: Usuarias Continuas,0
Pando,90201,Puerto Rico,2015,1,Implante subdermico: Usuarias Continuas,0
Beni,80201,Riberalta,2015,1,Implante subdermico: Usuarias Continuas,0
Beni,80304,Rurrenabaque,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,31001,Sacaba,2015,1,Implante subdermico: Usuarias Continuas,0
Santa Cruz,71104,San Julian,2015,1,Implante subdermico: Usuarias Continuas,0
Tarija,60501,San Lorenzo(tja),2015,1,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,1,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10101,Sucre,2015,1,Implante subdermico: Usuarias Continuas,0
Tarija,60101,Tarija,2015,1,Implante subdermico: Usuarias Continuas,0
Beni,80101,Trinidad,2015,1,Implante subdermico: Usuarias Continuas,0
Cochabamba,30904,Vinto,2015,1,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10102,Yotala,2015,1,Implante subdermico: Usuarias Continuas,0
La Paz,22002,Alto Beni,2015,2,Implante subdermico: Usuarias Continuas,0
Cochabamba,30701,Capinota,2015,2,Implante subdermico: Usuarias Continuas,0
Potosí,50702,Caripuyo,2015,2,Implante subdermico: Usuarias Continuas,0
Pando,90101,Cobija,2015,2,Implante subdermico: Usuarias Continuas,0
Cochabamba,30101,Cochabamba,2015,2,Implante subdermico: Usuarias Continuas,0
Cochabamba,31002,Colomi,2015,2,Implante subdermico: Usuarias Continuas,0
La Paz,20105,El Alto,2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70105,El Torno,2015,2,Implante subdermico: Usuarias Continuas,0
Tarija,60601,Entre Rios Trj,2015,2,Implante subdermico: Usuarias Continuas,0
Pando,90402,Ingavi (humaita),2015,2,Implante subdermico: Usuarias Continuas,0
La Paz,20101,La Paz,2015,2,Implante subdermico: Usuarias Continuas,0
La Paz,20607,Mapiri,2015,2,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10501,Monteagudo,2015,2,Implante subdermico: Usuarias Continuas,0
Oruro,40101,Oruro,2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70502,Pailon,2015,2,Implante subdermico: Usuarias Continuas,0
Pando,90102,Porvenir,2015,2,Implante subdermico: Usuarias Continuas,0
Potosí,50101,Potosi,2015,2,Implante subdermico: Usuarias Continuas,0
Pando,90201,Puerto Rico,2015,2,Implante subdermico: Usuarias Continuas,0
Beni,80201,Riberalta,2015,2,Implante subdermico: Usuarias Continuas,0
Oruro,40901,Sabaya,2015,2,Implante subdermico: Usuarias Continuas,0
Cochabamba,31001,Sacaba,2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70402,San Carlos,2015,2,Implante subdermico: Usuarias Continuas,0
Tarija,60501,San Lorenzo(tja),2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70303,San Rafael,2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70101,Santa Cruz De La Sierra,2015,2,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10101,Sucre,2015,2,Implante subdermico: Usuarias Continuas,0
Tarija,60101,Tarija,2015,2,Implante subdermico: Usuarias Continuas,0
Beni,80101,Trinidad,2015,2,Implante subdermico: Usuarias Continuas,0
La Paz,20801,Viacha,2015,2,Implante subdermico: Usuarias Continuas,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2015,2,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70403,Yapacani,2015,2,Implante subdermico: Usuarias Continuas,0
La Paz,22002,Alto Beni,2015,3,Implante subdermico: Usuarias Continuas,0
Cochabamba,30301,Ayopaya (v. De Independencia),2015,3,Implante subdermico: Usuarias Continuas,0
La Paz,21203,Batallas,2015,3,Implante subdermico: Usuarias Continuas,0
Cochabamba,30701,Capinota,2015,3,Implante subdermico: Usuarias Continuas,0
Pando,90101,Cobija,2015,3,Implante subdermico: Usuarias Continuas,0
Cochabamba,30101,Cochabamba,2015,3,Implante subdermico: Usuarias Continuas,0
Cochabamba,30905,Colcapirhua,2015,3,Implante subdermico: Usuarias Continuas,0
La Paz,20105,El Alto,2015,3,Implante subdermico: Usuarias Continuas,0
Santa Cruz,70105,El Torno,2015,3,Implante subdermico: Usuarias Continuas,2
Santa Cruz,70705,Gutierrez,2015,3,Implante subdermico: Usuarias Continuas,0
Oruro,40701,Huanuni,2015,3,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10703,Incahuasi,2015,3,Implante subdermico: Usuarias Continuas,0
La Paz,20101,La Paz,2015,3,Implante subdermico: Usuarias Continuas,0
Cochabamba,31301,Mizque,2015,3,Implante subdermico: Usuarias Continuas,0
Chuquisaca,10501,Monteagudo,2015,3,Implante subdermico: Usuarias Continuas,0
