department,municipality_id,municipality,year,month,population,value
Santa Cruz,71501,Ascencion De Guarayos,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70703,Cabezas,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70706,Camiri,2015,1,Nacidos muertos con peso menor a 2500g,1
Pando,90101,Cobija,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,30101,Cochabamba,2015,1,Nacidos muertos con peso menor a 2500g,36
Santa Cruz,71301,Comarapa,2015,1,Nacidos muertos con peso menor a 2500g,1
La Paz,20105,El Alto,2015,1,Nacidos muertos con peso menor a 2500g,6
Santa Cruz,70105,El Torno,2015,1,Nacidos muertos con peso menor a 2500g,1
Beni,80202,Guayaramerin,2015,1,Nacidos muertos con peso menor a 2500g,1
La Paz,21105,La Asunta,2015,1,Nacidos muertos con peso menor a 2500g,1
La Paz,20101,La Paz,2015,1,Nacidos muertos con peso menor a 2500g,15
Potosí,50203,Llallagua,2015,1,Nacidos muertos con peso menor a 2500g,1
Chuquisaca,10501,Monteagudo,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,30302,Morochata,2015,1,Nacidos muertos con peso menor a 2500g,1
Oruro,40101,Oruro,2015,1,Nacidos muertos con peso menor a 2500g,7
Chuquisaca,10401,Padilla,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,31205,Puerto Villarroel,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,31401,Punata,2015,1,Nacidos muertos con peso menor a 2500g,1
Beni,80201,Riberalta,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70501,San Jose De Chiquitos,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,71104,San Julian,2015,1,Nacidos muertos con peso menor a 2500g,1
Chuquisaca,10702,San Lucas,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70101,Santa Cruz De La Sierra,2015,1,Nacidos muertos con peso menor a 2500g,16
Chuquisaca,10101,Sucre,2015,1,Nacidos muertos con peso menor a 2500g,3
La Paz,20603,Tacacoma,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,30903,Tiquipaya,2015,1,Nacidos muertos con peso menor a 2500g,1
Cochabamba,31201,Totora(cbba),2015,1,Nacidos muertos con peso menor a 2500g,1
Beni,80101,Trinidad,2015,1,Nacidos muertos con peso menor a 2500g,5
Potosí,51201,Uyuni,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70801,Vallegrande,2015,1,Nacidos muertos con peso menor a 2500g,1
Tarija,60303,Villa Montes,2015,1,Nacidos muertos con peso menor a 2500g,3
Cochabamba,31003,Villa Tunari,2015,1,Nacidos muertos con peso menor a 2500g,2
Potosí,51501,Villazon,2015,1,Nacidos muertos con peso menor a 2500g,1
Tarija,60301,Yacuiba,2015,1,Nacidos muertos con peso menor a 2500g,2
Santa Cruz,70403,Yapacani,2015,1,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70703,Cabezas,2015,2,Nacidos muertos con peso menor a 2500g,1
Santa Cruz,70706,Camiri,2015,2,Nacidos muertos con peso menor a 2500g,1
La Paz,22001,Caranavi,2015,2,Nacidos muertos con peso menor a 2500g,1
Oruro,40201,Challapata,2015,2,Nacidos muertos con peso menor a 2500g,1
Pando,90101,Cobija,2015,2,Nacidos muertos con peso menor a 2500g,3
Cochabamba,30101,Cochabamba,2015,2,Nacidos muertos con peso menor a 2500g,44
La Paz,20105,El Alto,2015,2,Nacidos muertos con peso menor a 2500g,23
La Paz,20101,La Paz,2015,2,Nacidos muertos con peso menor a 2500g,12
Beni,80801,Magdalena,2015,2,Nacidos muertos con peso menor a 2500g,1
Cochabamba,31301,Mizque,2015,2,Nacidos muertos con peso menor a 2500g,1
Oruro,40101,Oruro,2015,2,Nacidos muertos con peso menor a 2500g,3
Cochabamba,31202,Pojo (cbba),2015,2,Nacidos muertos con peso menor a 2500g,1
Potosí,50101,Potosi,2015,2,Nacidos muertos con peso menor a 2500g,2
Potosí,50402,Ravelo,2015,2,Nacidos muertos con peso menor a 2500g,1
Beni,80201,Riberalta,2015,2,Nacidos muertos con peso menor a 2500g,3
Beni,80304,Rurrenabaque,2015,2,Nacidos muertos con peso menor a 2500g,1
Cochabamba,31001,Sacaba,2015,2,Nacidos muertos con peso menor a 2500g,1
Beni,80302,San Borja,2015,2,Nacidos muertos con peso menor a 2500g,1
