department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2017,1,Cesareas,7
Cochabamba,30201,Aiquile,2017,1,Cesareas,5
Santa Cruz,71501,Ascencion De Guarayos,2017,1,Cesareas,17
Cochabamba,30301,Ayopaya (v. De Independencia),2017,1,Cesareas,2
Tarija,60202,Bermejo,2017,1,Cesareas,14
Chuquisaca,10701,Camargo,2017,1,Cesareas,10
Santa Cruz,70706,Camiri,2017,1,Cesareas,52
Oruro,40102,Caracollo,2017,1,Cesareas,2
La Paz,22001,Caranavi,2017,1,Cesareas,20
Oruro,40201,Challapata,2017,1,Cesareas,8
Santa Cruz,70702,Charagua,2017,1,Cesareas,13
La Paz,21101,Chulumani (v. De La Libertad),2017,1,Cesareas,9
Cochabamba,30801,Cliza,2017,1,Cesareas,5
Pando,90101,Cobija,2017,1,Cesareas,83
Cochabamba,30101,Cochabamba,2017,1,Cesareas,825
Cochabamba,30905,Colcapirhua,2017,1,Cesareas,21
Santa Cruz,71301,Comarapa,2017,1,Cesareas,14
La Paz,21401,Coroico,2017,1,Cesareas,5
Santa Cruz,70102,Cotoca,2017,1,Cesareas,1
Chuquisaca,10902,Culpina,2017,1,Cesareas,3
La Paz,20105,El Alto,2017,1,Cesareas,379
Santa Cruz,70105,El Torno,2017,1,Cesareas,50
Tarija,60601,Entre Rios Trj,2017,1,Cesareas,5
La Paz,20405,Escoma,2017,1,Cesareas,2
La Paz,20602,Guanay,2017,1,Cesareas,1
Beni,80202,Guayaramerin,2017,1,Cesareas,42
Oruro,40701,Huanuni,2017,1,Cesareas,5
La Paz,20101,La Paz,2017,1,Cesareas,721
Potosí,50203,Llallagua,2017,1,Cesareas,10
Beni,80801,Magdalena,2017,1,Cesareas,3
Santa Cruz,70903,Mairana,2017,1,Cesareas,18
Cochabamba,31301,Mizque,2017,1,Cesareas,2
Chuquisaca,10501,Monteagudo,2017,1,Cesareas,13
Santa Cruz,71001,Montero,2017,1,Cesareas,251
Oruro,40101,Oruro,2017,1,Cesareas,355
Chuquisaca,10401,Padilla,2017,1,Cesareas,10
Santa Cruz,70502,Pailon,2017,1,Cesareas,14
La Paz,21305,Patacamaya,2017,1,Cesareas,1
Santa Cruz,70601,Portachuelo,2017,1,Cesareas,17
Potosí,50101,Potosi,2017,1,Cesareas,155
Santa Cruz,71402,Puerto Quijarro,2017,1,Cesareas,7
Santa Cruz,71401,Puerto Suarez,2017,1,Cesareas,17
Cochabamba,31205,Puerto Villarroel,2017,1,Cesareas,12
Cochabamba,31401,Punata,2017,1,Cesareas,23
