department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2017,1,Otras actividades,1
La Paz,20201,Achacachi,2017,1,Otras actividades,165
La Paz,20104,Achocalla,2017,1,Otras actividades,29
Cochabamba,30201,Aiquile,2017,1,Otras actividades,62
Chuquisaca,10404,Alcala,2017,1,Otras actividades,5
La Paz,22002,Alto Beni,2017,1,Otras actividades,6
La Paz,20202,Ancoraimes,2017,1,Otras actividades,14
Oruro,41201,Andamarca,2017,1,Otras actividades,13
Oruro,40603,Antequera,2017,1,Otras actividades,31
Cochabamba,30402,Anzaldo,2017,1,Otras actividades,13
La Paz,20701,Apolo,2017,1,Otras actividades,67
Potosí,51301,Arampampa,2017,1,Otras actividades,3
Cochabamba,30501,Arani,2017,1,Otras actividades,6
Cochabamba,30403,Arbieto,2017,1,Otras actividades,3
Cochabamba,30601,Arque,2017,1,Otras actividades,4
Santa Cruz,71501,Ascencion De Guarayos,2017,1,Otras actividades,1067
Potosí,50802,Atocha,2017,1,Otras actividades,935
La Paz,20503,Aucapata,2017,1,Otras actividades,6
La Paz,20502,Ayata,2017,1,Otras actividades,10
La Paz,21303,Ayo Ayo,2017,1,Otras actividades,2
Cochabamba,30301,Ayopaya (v. De Independencia),2017,1,Otras actividades,34
La Paz,21203,Batallas,2017,1,Otras actividades,6
Beni,80802,Baures,2017,1,Otras actividades,77
Oruro,41202,Belen De Andamarca,2017,1,Otras actividades,3
Pando,90104,Bella Flor,2017,1,Otras actividades,2
Tarija,60202,Bermejo,2017,1,Otras actividades,21365
Potosí,50301,Betanzos,2017,1,Otras actividades,322
Cochabamba,31501,Bolivar,2017,1,Otras actividades,1
Santa Cruz,70707,Boyuibe,2017,1,Otras actividades,15
Santa Cruz,70401,Buena Vista,2017,1,Otras actividades,74
Santa Cruz,70703,Cabezas,2017,1,Otras actividades,307
La Paz,20905,Cairoma,2017,1,Otras actividades,1
Potosí,51102,"Caiza ""d""",2017,1,Otras actividades,6
La Paz,21003,Cajuata,2017,1,Otras actividades,1
La Paz,20303,Calacoto,2017,1,Otras actividades,4
La Paz,21304,Calamarca,2017,1,Otras actividades,3
Chuquisaca,10701,Camargo,2017,1,Otras actividades,3394
Chuquisaca,10901,Camataqui (c. Villa Abecia),2017,1,Otras actividades,7
Santa Cruz,70706,Camiri,2017,1,Otras actividades,13170
Cochabamba,30701,Capinota,2017,1,Otras actividades,13
Oruro,40102,Caracollo,2017,1,Otras actividades,32
La Paz,22001,Caranavi,2017,1,Otras actividades,14614
Tarija,60302,Carapari,2017,1,Otras actividades,280
La Paz,21803,Chacarilla,2017,1,Otras actividades,2
Oruro,40201,Challapata,2017,1,Otras actividades,3073
Potosí,50302,Chaqui,2017,1,Otras actividades,10
Santa Cruz,70702,Charagua,2017,1,Otras actividades,76
Potosí,50202,Chayanta,2017,1,Otras actividades,257
Cochabamba,31204,Chimore,2017,1,Otras actividades,245
Oruro,40903,Chipaya,2017,1,Otras actividades,1
Oruro,40302,Choque Cota,2017,1,Otras actividades,2
La Paz,20203,Chua Cocani,2017,1,Otras actividades,10
La Paz,21101,Chulumani (v. De La Libertad),2017,1,Otras actividades,4
La Paz,20501,Chuma,2017,1,Otras actividades,3
Potosí,50204,Chuquihuta Ayllu Jucumani,2017,1,Otras actividades,5
Potosí,51103,Ckochas,2017,1,Otras actividades,5
Cochabamba,30801,Cliza,2017,1,Otras actividades,14
Pando,90101,Cobija,2017,1,Otras actividades,1559
Cochabamba,30303,Cocapata,2017,1,Otras actividades,1
Cochabamba,30101,Cochabamba,2017,1,Otras actividades,70424
Oruro,40902,Coipasa,2017,1,Otras actividades,2
Cochabamba,30905,Colcapirhua,2017,1,Otras actividades,2300
Potosí,50901,"Colcha ""k""",2017,1,Otras actividades,42
La Paz,21307,Collana,2017,1,Otras actividades,92
Cochabamba,31002,Colomi,2017,1,Otras actividades,34
Santa Cruz,70603,Colpa Belgica,2017,1,Otras actividades,59
Potosí,50401,Colquechaca,2017,1,Otras actividades,52
La Paz,21306,Colquencha,2017,1,Otras actividades,4
La Paz,21004,Colquiri,2017,1,Otras actividades,6
La Paz,20304,Comanche,2017,1,Otras actividades,1
Santa Cruz,71301,Comarapa,2017,1,Otras actividades,10
La Paz,20605,Combaya,2017,1,Otras actividades,40
Santa Cruz,71101,Concepcion,2017,1,Otras actividades,23
La Paz,21701,Copacabana,2017,1,Otras actividades,10
La Paz,21402,Coripata,2017,1,Otras actividades,7
La Paz,21401,Coroico,2017,1,Otras actividades,175
Oruro,40301,Corque,2017,1,Otras actividades,188
Potosí,50601,Cotagaita,2017,1,Otras actividades,376
Santa Cruz,70102,Cotoca,2017,1,Otras actividades,2377
Oruro,40503,Cruz De Machacamarca,2017,1,Otras actividades,1
Santa Cruz,71106,Cuatro Cañadas,2017,1,Otras actividades,285
