department,municipality_id,municipality,year,month,population,value
Chuquisaca,10701,Camargo,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,1
La Paz,22001,Caranavi,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,8
Santa Cruz,71403,Carmen Rivero Torrez,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Cochabamba,30101,Cochabamba,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,17
La Paz,20105,El Alto,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,9
Chuquisaca,10502,Huacareta,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,21005,Ichoca,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,10
La Paz,20101,La Paz,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,7
La Paz,21202,Laja,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Beni,80801,Magdalena,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Chuquisaca,10501,Monteagudo,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Oruro,40101,Oruro,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Potosí,50101,Potosi,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Cochabamba,30901,Quillacollo,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,5
Santa Cruz,70101,Santa Cruz De La Sierra,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,12
Chuquisaca,10101,Sucre,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Tarija,60101,Tarija,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,291
Chuquisaca,10402,Tomina,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Beni,80101,Trinidad,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,6
Potosí,50801,Tupiza,2017,1,PCD referidas a Unidades de Calificacion de Discapacidad.,16
La Paz,22001,Caranavi,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Cochabamba,30101,Cochabamba,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,17
La Paz,20105,El Alto,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,10
La Paz,20101,La Paz,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,30
La Paz,21202,Laja,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,5
Beni,80801,Magdalena,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Santa Cruz,71003,Mineros,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Chuquisaca,10501,Monteagudo,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,6
Oruro,40101,Oruro,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Santa Cruz,70601,Portachuelo,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,30901,Quillacollo,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Chuquisaca,10702,San Lucas,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Santa Cruz,70101,Santa Cruz De La Sierra,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,12
Oruro,40104,Soracachi,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Tarija,60101,Tarija,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,189
Cochabamba,31601,Tiraque (cbba),2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Beni,80101,Trinidad,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Potosí,50801,Tupiza,2017,2,PCD referidas a Unidades de Calificacion de Discapacidad.,9
Potosí,51301,Arampampa,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,22001,Caranavi,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,5
Tarija,60302,Carapari,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,31204,Chimore,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,30101,Cochabamba,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,15
La Paz,20105,El Alto,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,11
La Paz,21501,Ixiamas,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,1
La Paz,20101,La Paz,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,8
La Paz,21202,Laja,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Potosí,50101,Potosi,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Chuquisaca,10702,San Lucas,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,10
Santa Cruz,70101,Santa Cruz De La Sierra,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,18
Cochabamba,30902,Sipe Sipe,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Chuquisaca,10101,Sucre,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Tarija,60101,Tarija,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,374
Cochabamba,31601,Tiraque (cbba),2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Beni,80101,Trinidad,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,8
Potosí,50801,Tupiza,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,25
Santa Cruz,70801,Vallegrande,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,21103,Yanacachi,2017,3,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,20701,Apolo,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Potosí,51102,"Caiza ""d""",2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Tarija,60302,Carapari,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Cochabamba,30101,Cochabamba,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,13
La Paz,20301,Coro Coro,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
La Paz,20105,El Alto,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Santa Cruz,70105,El Torno,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,3
La Paz,20101,La Paz,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,117
La Paz,21202,Laja,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Chuquisaca,10501,Monteagudo,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,30901,Quillacollo,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Beni,80302,San Borja,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,6
Santa Cruz,70101,Santa Cruz De La Sierra,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,15
Chuquisaca,10101,Sucre,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Tarija,60101,Tarija,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,306
Cochabamba,31601,Tiraque (cbba),2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Beni,80101,Trinidad,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Potosí,50801,Tupiza,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,8
Santa Cruz,70201,Warnes,2017,4,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Tarija,60202,Bermejo,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,5
Santa Cruz,70703,Cabezas,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Potosí,51102,"Caiza ""d""",2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,21101,Chulumani (v. De La Libertad),2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,30101,Cochabamba,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,9
La Paz,20105,El Alto,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Santa Cruz,70105,El Torno,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,31206,Entre Rios Cbba,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
La Paz,20101,La Paz,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,7
Santa Cruz,70701,Lagunillas,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Chuquisaca,10501,Monteagudo,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,8
Santa Cruz,71001,Montero,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Oruro,40101,Oruro,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Chuquisaca,10103,Poroma,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Potosí,50101,Potosi,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Cochabamba,30901,Quillacollo,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,5
Santa Cruz,70101,Santa Cruz De La Sierra,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Tarija,60101,Tarija,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,211
Beni,80101,Trinidad,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,4
Potosí,50801,Tupiza,2017,5,PCD referidas a Unidades de Calificacion de Discapacidad.,21
Potosí,51102,"Caiza ""d""",2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Cochabamba,30101,Cochabamba,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,13
La Paz,20105,El Alto,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,6
Santa Cruz,70105,El Torno,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,2
Oruro,40701,Huanuni,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,2
La Paz,20806,Jesus De Machaca,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,3
La Paz,20101,La Paz,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,17
Beni,80601,Loreto,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Chuquisaca,10501,Monteagudo,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,3
Oruro,40101,Oruro,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Santa Cruz,70404,San Juan De Yapacani,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,1
Santa Cruz,70101,Santa Cruz De La Sierra,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,12
La Paz,20902,Sapahaqui,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,14
Tarija,60101,Tarija,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,411
Chuquisaca,10402,Tomina,2017,6,PCD referidas a Unidades de Calificacion de Discapacidad.,1
