department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2018,1,Dias camas disponibles otros servicios,62
La Paz,20201,Achacachi,2018,1,Dias camas disponibles otros servicios,465
Cochabamba,30201,Aiquile,2018,1,Dias camas disponibles otros servicios,930
Chuquisaca,10404,Alcala,2018,1,Dias camas disponibles otros servicios,93
La Paz,20202,Ancoraimes,2018,1,Dias camas disponibles otros servicios,62
Oruro,40603,Antequera,2018,1,Dias camas disponibles otros servicios,31
Cochabamba,30402,Anzaldo,2018,1,Dias camas disponibles otros servicios,558
La Paz,20701,Apolo,2018,1,Dias camas disponibles otros servicios,310
Potosí,51301,Arampampa,2018,1,Dias camas disponibles otros servicios,93
Cochabamba,30501,Arani,2018,1,Dias camas disponibles otros servicios,60
Cochabamba,30403,Arbieto,2018,1,Dias camas disponibles otros servicios,90
Cochabamba,30601,Arque,2018,1,Dias camas disponibles otros servicios,34
Santa Cruz,71501,Ascencion De Guarayos,2018,1,Dias camas disponibles otros servicios,1953
Potosí,50802,Atocha,2018,1,Dias camas disponibles otros servicios,926
La Paz,20503,Aucapata,2018,1,Dias camas disponibles otros servicios,31
Cochabamba,30301,Ayopaya (v. De Independencia),2018,1,Dias camas disponibles otros servicios,816
Chuquisaca,10201,Azurduy,2018,1,Dias camas disponibles otros servicios,698
La Paz,21203,Batallas,2018,1,Dias camas disponibles otros servicios,62
Beni,80802,Baures,2018,1,Dias camas disponibles otros servicios,62
Oruro,41202,Belen De Andamarca,2018,1,Dias camas disponibles otros servicios,62
Tarija,60202,Bermejo,2018,1,Dias camas disponibles otros servicios,2436
Cochabamba,31501,Bolivar,2018,1,Dias camas disponibles otros servicios,217
Santa Cruz,70707,Boyuibe,2018,1,Dias camas disponibles otros servicios,341
Santa Cruz,70401,Buena Vista,2018,1,Dias camas disponibles otros servicios,246
Santa Cruz,70703,Cabezas,2018,1,Dias camas disponibles otros servicios,310
La Paz,20905,Cairoma,2018,1,Dias camas disponibles otros servicios,320
Potosí,51102,"Caiza ""d""",2018,1,Dias camas disponibles otros servicios,93
Chuquisaca,10701,Camargo,2018,1,Dias camas disponibles otros servicios,1323
Chuquisaca,10901,Camataqui (c. Villa Abecia),2018,1,Dias camas disponibles otros servicios,93
Santa Cruz,70706,Camiri,2018,1,Dias camas disponibles otros servicios,3162
Cochabamba,30701,Capinota,2018,1,Dias camas disponibles otros servicios,465
Oruro,40102,Caracollo,2018,1,Dias camas disponibles otros servicios,155
