department,municipality_id,municipality,year,month,population,value
Cochabamba,30101,Cochabamba,2019,1,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2019,1,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2019,1,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20601,Sorata,2019,1,AQV MASCULINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20601,Sorata,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50801,Tupiza,2019,2,AQV MASCULINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2019,3,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50203,Llallagua,2019,3,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2019,3,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20601,Sorata,2019,3,AQV MASCULINO < 15 / CANTIDAD,0
Chuquisaca,10101,Sucre,2019,3,AQV MASCULINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
Santa Cruz,71402,Puerto Quijarro,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20601,Sorata,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
Chuquisaca,10101,Sucre,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
Tarija,60101,Tarija,2019,4,AQV MASCULINO < 15 / CANTIDAD,0
Tarija,60202,Bermejo,2019,5,AQV MASCULINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2019,5,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2019,5,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,51401,Llica,2019,5,AQV MASCULINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2019,5,AQV MASCULINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
Santa Cruz,71003,Mineros,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
Santa Cruz,70101,Santa Cruz De La Sierra,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
La Paz,20601,Sorata,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
Chuquisaca,10101,Sucre,2019,6,AQV MASCULINO < 15 / CANTIDAD,0
