department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2021,1,No de familias nuevas carpetizadas durante el periodo,21
La Paz,20201,Achacachi,2021,1,No de familias nuevas carpetizadas durante el periodo,1
La Paz,20104,Achocalla,2021,1,No de familias nuevas carpetizadas durante el periodo,2
Cochabamba,30201,Aiquile,2021,1,No de familias nuevas carpetizadas durante el periodo,2
La Paz,22002,Alto Beni,2021,1,No de familias nuevas carpetizadas durante el periodo,4
Cochabamba,30501,Arani,2021,1,No de familias nuevas carpetizadas durante el periodo,1
Cochabamba,30403,Arbieto,2021,1,No de familias nuevas carpetizadas durante el periodo,8
Cochabamba,30601,Arque,2021,1,No de familias nuevas carpetizadas durante el periodo,24
La Paz,20502,Ayata,2021,1,No de familias nuevas carpetizadas durante el periodo,3
La Paz,21303,Ayo Ayo,2021,1,No de familias nuevas carpetizadas durante el periodo,10
Tarija,60202,Bermejo,2021,1,No de familias nuevas carpetizadas durante el periodo,1
Potosí,50301,Betanzos,2021,1,No de familias nuevas carpetizadas durante el periodo,2
Santa Cruz,70401,Buena Vista,2021,1,No de familias nuevas carpetizadas durante el periodo,9
Santa Cruz,70703,Cabezas,2021,1,No de familias nuevas carpetizadas durante el periodo,6
Potosí,51102,"Caiza ""d""",2021,1,No de familias nuevas carpetizadas durante el periodo,17
La Paz,21304,Calamarca,2021,1,No de familias nuevas carpetizadas durante el periodo,5
Chuquisaca,10701,Camargo,2021,1,No de familias nuevas carpetizadas durante el periodo,18
Santa Cruz,70706,Camiri,2021,1,No de familias nuevas carpetizadas durante el periodo,106
La Paz,20302,Caquiaviri,2021,1,No de familias nuevas carpetizadas durante el periodo,12
Oruro,40102,Caracollo,2021,1,No de familias nuevas carpetizadas durante el periodo,5
Santa Cruz,71403,Carmen Rivero Torrez,2021,1,No de familias nuevas carpetizadas durante el periodo,2
Oruro,40201,Challapata,2021,1,No de familias nuevas carpetizadas durante el periodo,10
Potosí,50302,Chaqui,2021,1,No de familias nuevas carpetizadas durante el periodo,2
Santa Cruz,70702,Charagua,2021,1,No de familias nuevas carpetizadas durante el periodo,44
Cochabamba,31204,Chimore,2021,1,No de familias nuevas carpetizadas durante el periodo,10
La Paz,21101,Chulumani (v. De La Libertad),2021,1,No de familias nuevas carpetizadas durante el periodo,1
Potosí,51103,Ckochas,2021,1,No de familias nuevas carpetizadas durante el periodo,18
Cochabamba,30801,Cliza,2021,1,No de familias nuevas carpetizadas durante el periodo,3
Cochabamba,30101,Cochabamba,2021,1,No de familias nuevas carpetizadas durante el periodo,50
Cochabamba,30905,Colcapirhua,2021,1,No de familias nuevas carpetizadas durante el periodo,18
Potosí,50901,"Colcha ""k""",2021,1,No de familias nuevas carpetizadas durante el periodo,11
La Paz,21307,Collana,2021,1,No de familias nuevas carpetizadas durante el periodo,1
Cochabamba,31002,Colomi,2021,1,No de familias nuevas carpetizadas durante el periodo,10
Santa Cruz,70603,Colpa Belgica,2021,1,No de familias nuevas carpetizadas durante el periodo,41
Potosí,50401,Colquechaca,2021,1,No de familias nuevas carpetizadas durante el periodo,22
La Paz,21306,Colquencha,2021,1,No de familias nuevas carpetizadas durante el periodo,2
La Paz,21004,Colquiri,2021,1,No de familias nuevas carpetizadas durante el periodo,10
Santa Cruz,71301,Comarapa,2021,1,No de familias nuevas carpetizadas durante el periodo,7
La Paz,21401,Coroico,2021,1,No de familias nuevas carpetizadas durante el periodo,4
Potosí,50601,Cotagaita,2021,1,No de familias nuevas carpetizadas durante el periodo,50
Santa Cruz,71106,Cuatro Cañadas,2021,1,No de familias nuevas carpetizadas durante el periodo,1
Santa Cruz,70704,Cuevo,2021,1,No de familias nuevas carpetizadas durante el periodo,4
Chuquisaca,10902,Culpina,2021,1,No de familias nuevas carpetizadas durante el periodo,15
Oruro,40401,Curahuara De Carangas,2021,1,No de familias nuevas carpetizadas durante el periodo,14
La Paz,20105,El Alto,2021,1,No de familias nuevas carpetizadas durante el periodo,80
Santa Cruz,71503,El Puente(stc),2021,1,No de familias nuevas carpetizadas durante el periodo,20
Chuquisaca,10405,El Villar,2021,1,No de familias nuevas carpetizadas durante el periodo,6
Tarija,60601,Entre Rios Trj,2021,1,No de familias nuevas carpetizadas durante el periodo,15
Cochabamba,31206,Entre Rios Cbba,2021,1,No de familias nuevas carpetizadas durante el periodo,15
Oruro,41101,Eucaliptus,2021,1,No de familias nuevas carpetizadas durante el periodo,6
Santa Cruz,71004,Fernandez Alonso,2021,1,No de familias nuevas carpetizadas durante el periodo,23
Santa Cruz,71002,General Saavedra,2021,1,No de familias nuevas carpetizadas durante el periodo,2
Chuquisaca,10502,Huacareta,2021,1,No de familias nuevas carpetizadas durante el periodo,51
La Paz,20204,Huarina,2021,1,No de familias nuevas carpetizadas durante el periodo,1
La Paz,20404,Humanata,2021,1,No de familias nuevas carpetizadas durante el periodo,3
Chuquisaca,10304,Icla,2021,1,No de familias nuevas carpetizadas durante el periodo,62
