department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2021,1,Pacientes referidos a otros establecimientos,1
La Paz,20201,Achacachi,2021,1,Pacientes referidos a otros establecimientos,134
La Paz,20104,Achocalla,2021,1,Pacientes referidos a otros establecimientos,37
Cochabamba,30201,Aiquile,2021,1,Pacientes referidos a otros establecimientos,48
Chuquisaca,10404,Alcala,2021,1,Pacientes referidos a otros establecimientos,14
La Paz,22002,Alto Beni,2021,1,Pacientes referidos a otros establecimientos,1
La Paz,20202,Ancoraimes,2021,1,Pacientes referidos a otros establecimientos,5
Oruro,41201,Andamarca,2021,1,Pacientes referidos a otros establecimientos,5
Oruro,40603,Antequera,2021,1,Pacientes referidos a otros establecimientos,1
Cochabamba,30402,Anzaldo,2021,1,Pacientes referidos a otros establecimientos,10
La Paz,20701,Apolo,2021,1,Pacientes referidos a otros establecimientos,17
Cochabamba,30501,Arani,2021,1,Pacientes referidos a otros establecimientos,29
Cochabamba,30403,Arbieto,2021,1,Pacientes referidos a otros establecimientos,16
Cochabamba,30601,Arque,2021,1,Pacientes referidos a otros establecimientos,7
Santa Cruz,71501,Ascencion De Guarayos,2021,1,Pacientes referidos a otros establecimientos,34
Potosí,50802,Atocha,2021,1,Pacientes referidos a otros establecimientos,131
La Paz,20503,Aucapata,2021,1,Pacientes referidos a otros establecimientos,3
La Paz,20502,Ayata,2021,1,Pacientes referidos a otros establecimientos,4
La Paz,21303,Ayo Ayo,2021,1,Pacientes referidos a otros establecimientos,10
Cochabamba,30301,Ayopaya (v. De Independencia),2021,1,Pacientes referidos a otros establecimientos,32
Chuquisaca,10201,Azurduy,2021,1,Pacientes referidos a otros establecimientos,19
La Paz,21203,Batallas,2021,1,Pacientes referidos a otros establecimientos,21
Beni,80802,Baures,2021,1,Pacientes referidos a otros establecimientos,10
Potosí,50104,Belen De Urmiri,2021,1,Pacientes referidos a otros establecimientos,1
Pando,90104,Bella Flor,2021,1,Pacientes referidos a otros establecimientos,8
Tarija,60202,Bermejo,2021,1,Pacientes referidos a otros establecimientos,396
Potosí,50301,Betanzos,2021,1,Pacientes referidos a otros establecimientos,62
Cochabamba,31501,Bolivar,2021,1,Pacientes referidos a otros establecimientos,2
Pando,90103,Bolpebra,2021,1,Pacientes referidos a otros establecimientos,5
