department,municipality_id,municipality,year,month,population,value
La Paz,20201,Achacachi,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30201,Aiquile,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10701,Camargo,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70706,Camiri,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40201,Challapata,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70702,Charagua,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21101,Chulumani (v. De La Libertad),2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Pando,90101,Cobija,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21401,Coroico,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70105,El Torno,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60601,Entre Rios Trj,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80202,Guayaramerin,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40701,Huanuni,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50203,Llallagua,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70903,Mairana,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10501,Monteagudo,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40101,Oruro,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10401,Padilla,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70601,Portachuelo,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30901,Quillacollo,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80201,Riberalta,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70503,Robore,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31001,Sacaba,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50701,Sacaca,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80302,San Borja,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21502,San Buena Ventura,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,71103,San Ramon Scz,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80401,Santa Ana,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70101,Santa Cruz De La Sierra,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10101,Sucre,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60101,Tarija,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80101,Trinidad,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50801,Tupiza,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70801,Vallegrande,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60303,Villa Montes,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31003,Villa Tunari,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60301,Yacuiba,2022,1,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20201,Achacachi,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50802,Atocha,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20905,Cairoma,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10701,Camargo,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70706,Camiri,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,22001,Caranavi,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40201,Challapata,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70702,Charagua,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Pando,90101,Cobija,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,71301,Comarapa,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21401,Coroico,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60601,Entre Rios Trj,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80202,Guayaramerin,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40701,Huanuni,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50203,Llallagua,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70903,Mairana,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31301,Mizque,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10501,Monteagudo,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40101,Oruro,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10401,Padilla,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21305,Patacamaya,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50101,Potosi,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31205,Puerto Villarroel,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30901,Quillacollo,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80201,Riberalta,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70503,Robore,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31001,Sacaba,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21502,San Buena Ventura,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70301,San Ignacio De Velasco,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80401,Santa Ana,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70101,Santa Cruz De La Sierra,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10101,Sucre,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60101,Tarija,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31201,Totora(cbba),2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80101,Trinidad,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50801,Tupiza,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70801,Vallegrande,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60303,Villa Montes,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31003,Villa Tunari,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30904,Vinto,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70201,Warnes,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60301,Yacuiba,2022,2,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20201,Achacachi,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30201,Aiquile,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,71501,Ascencion De Guarayos,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50802,Atocha,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50301,Betanzos,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10701,Camargo,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70706,Camiri,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,22001,Caranavi,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40201,Challapata,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70702,Charagua,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21101,Chulumani (v. De La Libertad),2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Pando,90101,Cobija,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,30101,Cochabamba,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20105,El Alto,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Tarija,60601,Entre Rios Trj,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Beni,80202,Guayaramerin,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40701,Huanuni,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,20101,La Paz,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Potosí,50203,Llallagua,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Santa Cruz,70903,Mairana,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Cochabamba,31301,Mizque,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10501,Monteagudo,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Oruro,40101,Oruro,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
Chuquisaca,10401,Padilla,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
La Paz,21305,Patacamaya,2022,3,AQV FEMENINO < 15 / CANTIDAD,0
