department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
La Paz,20201,Achacachi,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,20
La Paz,20104,Achocalla,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,36
Cochabamba,30201,Aiquile,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,21
Cochabamba,31303,Alalay,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Chuquisaca,10404,Alcala,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
La Paz,22002,Alto Beni,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,4
La Paz,20202,Ancoraimes,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,19
Oruro,40603,Antequera,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Cochabamba,30402,Anzaldo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
La Paz,20701,Apolo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,18
Potosí,51301,Arampampa,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Cochabamba,30501,Arani,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,14
Cochabamba,30403,Arbieto,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,35
Cochabamba,30601,Arque,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
Santa Cruz,71501,Ascencion De Guarayos,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,28
Potosí,50802,Atocha,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
La Paz,20502,Ayata,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
La Paz,21303,Ayo Ayo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Cochabamba,30301,Ayopaya (v. De Independencia),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,19
Chuquisaca,10201,Azurduy,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,10
La Paz,21203,Batallas,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,20
Beni,80802,Baures,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
Potosí,50104,Belen De Urmiri,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
Pando,90104,Bella Flor,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
Tarija,60202,Bermejo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,38
Potosí,50301,Betanzos,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,39
Cochabamba,31501,Bolivar,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
Santa Cruz,70707,Boyuibe,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,8
Santa Cruz,70401,Buena Vista,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Santa Cruz,70703,Cabezas,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,17
La Paz,20905,Cairoma,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
Potosí,51102,"Caiza ""d""",2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,10
La Paz,21003,Cajuata,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,13
La Paz,20303,Calacoto,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,8
La Paz,21304,Calamarca,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,15
Chuquisaca,10701,Camargo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Chuquisaca,10901,Camataqui (c. Villa Abecia),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
Santa Cruz,70706,Camiri,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,36
Cochabamba,30701,Capinota,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,21
La Paz,20302,Caquiaviri,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
Oruro,40102,Caracollo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,29
La Paz,22001,Caranavi,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,26
Tarija,60302,Carapari,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,16
Potosí,50702,Caripuyo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,7
Santa Cruz,71403,Carmen Rivero Torrez,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
La Paz,21902,Catacora,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
La Paz,21803,Chacarilla,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Oruro,40201,Challapata,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,37
Potosí,50302,Chaqui,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Santa Cruz,70702,Charagua,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,39
La Paz,20305,Charaña,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Potosí,50202,Chayanta,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
Cochabamba,31204,Chimore,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,30
Oruro,40903,Chipaya,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Oruro,40302,Choque Cota,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
La Paz,20203,Chua Cocani,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
La Paz,21101,Chulumani (v. De La Libertad),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,16
La Paz,20501,Chuma,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Potosí,50204,Chuquihuta Ayllu Jucumani,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
Potosí,51103,Ckochas,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,15
Cochabamba,30801,Cliza,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,12
Pando,90101,Cobija,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,98
Cochabamba,30303,Cocapata,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,14
Cochabamba,30101,Cochabamba,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,426
Cochabamba,30905,Colcapirhua,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,41
Potosí,50901,"Colcha ""k""",2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,12
La Paz,21307,Collana,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Cochabamba,31002,Colomi,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,35
Santa Cruz,70603,Colpa Belgica,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Potosí,50401,Colquechaca,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,24
La Paz,21306,Colquencha,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,9
La Paz,21004,Colquiri,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,17
La Paz,20304,Comanche,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
Santa Cruz,71301,Comarapa,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,27
La Paz,20605,Combaya,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
Santa Cruz,71101,Concepcion,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,12
La Paz,21701,Copacabana,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
La Paz,21402,Coripata,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,16
La Paz,20301,Coro Coro,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,12
La Paz,21401,Coroico,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,23
Oruro,40301,Corque,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
Potosí,50601,Cotagaita,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,28
Santa Cruz,70102,Cotoca,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,112
Santa Cruz,71106,Cuatro Cañadas,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,27
Cochabamba,31405,Cuchumuela (v. G. Villarroel),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
Santa Cruz,70704,Cuevo,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,4
Chuquisaca,10902,Culpina,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,24
Oruro,40401,Curahuara De Carangas,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,4
La Paz,21602,Curva,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,2
La Paz,20804,Desaguadero,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,7
La Paz,20105,El Alto,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,889
Santa Cruz,71503,El Puente(stc),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Tarija,60502,El Puente(tja),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,11
Santa Cruz,70105,El Torno,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,57
Chuquisaca,10405,El Villar,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Tarija,60601,Entre Rios Trj,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,23
Cochabamba,31206,Entre Rios Cbba,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,54
La Paz,20405,Escoma,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,6
Oruro,41101,Eucaliptus,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Pando,90503,Eureka (santos Mercado),2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,8
Beni,80402,Exaltacion,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,1
Santa Cruz,71004,Fernandez Alonso,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,59
Pando,90203,Filadelfia,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,5
Potosí,51204,Gaioc Jatun Ayllu Yura,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,3
Santa Cruz,71002,General Saavedra,2023,1,Ninas(os) menores de 1 ano con dosis completa de hierro,32
