department,municipality_id,municipality,year,month,population,value
La Paz,20104,Achocalla,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,30403,Arbieto,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,30601,Arque,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Pando,90104,Bella Flor,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Tarija,60202,Bermejo,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,31501,Bolivar,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21003,Cajuata,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21304,Calamarca,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Chuquisaca,10701,Camargo,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Santa Cruz,70706,Camiri,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,30701,Capinota,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Oruro,40102,Caracollo,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,22001,Caranavi,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21803,Chacarilla,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21101,Chulumani (v. De La Libertad),2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,20501,Chuma,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Potosí,51103,Ckochas,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Pando,90101,Cobija,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,30101,Cochabamba,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Cochabamba,30905,Colcapirhua,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Santa Cruz,70603,Colpa Belgica,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Potosí,50401,Colquechaca,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21306,Colquencha,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21004,Colquiri,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Santa Cruz,71301,Comarapa,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Oruro,40301,Corque,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,20105,El Alto,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Santa Cruz,70105,El Torno,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Tarija,60601,Entre Rios Trj,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Oruro,41101,Eucaliptus,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Santa Cruz,71002,General Saavedra,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,20602,Guanay,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Chuquisaca,10502,Huacareta,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Chuquisaca,11002,Huacaya (villa De Huacaya),2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
Chuquisaca,10304,Icla,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21102,Irupana (villa De Lanza),2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
La Paz,21501,Ixiamas,2023,1,VPH (NINAS QUE CUMPLIRAN 10 ANOS) 2DA. DOSIS DENTRO / MASCULINO,0
