department,municipality_id,municipality,year,month,population,value
La Paz,21401,Coroico,2023,1,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
La Paz,20101,La Paz,2023,1,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Cochabamba,31205,Puerto Villarroel,2023,1,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2023,1,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,3
Tarija,60301,Yacuiba,2023,1,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Cochabamba,30101,Cochabamba,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
La Paz,20101,La Paz,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,0
Santa Cruz,71402,Puerto Quijarro,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Cochabamba,31205,Puerto Villarroel,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,4
Cochabamba,31602,Shinaota,2023,2,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
La Paz,21401,Coroico,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,0
Santa Cruz,71002,General Saavedra,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,0
La Paz,20101,La Paz,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,0
Santa Cruz,70502,Pailon,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
La Paz,21104,Palos Blancos,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,3
Chuquisaca,10101,Sucre,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,1
Tarija,60101,Tarija,2023,3,No DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD / MASCULINO,0
