department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Cochabamba,30201,Aiquile,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,28
Cochabamba,31303,Alalay,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,3
La Paz,20202,Ancoraimes,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,2
Oruro,40603,Antequera,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,4
Cochabamba,30402,Anzaldo,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,12
Cochabamba,30403,Arbieto,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Cochabamba,30601,Arque,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,0
Santa Cruz,71501,Ascencion De Guarayos,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,50
Potosí,50802,Atocha,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,2
La Paz,20502,Ayata,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,0
Cochabamba,30301,Ayopaya (v. De Independencia),2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Chuquisaca,10201,Azurduy,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,5
Tarija,60202,Bermejo,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,26
Potosí,50301,Betanzos,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,4
Cochabamba,31501,Bolivar,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,0
Santa Cruz,70707,Boyuibe,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Santa Cruz,70703,Cabezas,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,11
La Paz,21304,Calamarca,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,2
Chuquisaca,10701,Camargo,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,20
Cochabamba,30701,Capinota,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,0
Oruro,40102,Caracollo,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,2
La Paz,22001,Caranavi,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,84
Tarija,60302,Carapari,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Potosí,50702,Caripuyo,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
Oruro,40201,Challapata,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,34
Santa Cruz,70702,Charagua,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,7
Cochabamba,31204,Chimore,2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,1
La Paz,21101,Chulumani (v. De La Libertad),2024,1,7. No DE PERSONAS CON PRUEBA RAPIDA DE VIH CANTIDAD / MASCULINO,16
