municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ACACIO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,46,46
ACHACACHI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,270,270
ACHOCALLA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,79,79
AIQUILE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,130,130
ALCALA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,166,166
ANCORAIMES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,28,28
ANDAMARCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,94,94
ANTEQUERA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,95,95
ANZALDO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,74,74
APOLO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,111,111
ARAMPAMPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,29,29
ARANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,6,6
ARBIETO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,11,11
ARQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,106,106
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,127,127
ATOCHA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,707,707
AYATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,42,42
AYO AYO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,86,86
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,186,186
BATALLAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,207,207
BAURES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,90,90
BERMEJO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,487,487
BETANZOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,127,127
BOLIVAR,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,43,43
BOLPEBRA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,47,47
BOYUIBE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,45,45
BUENA VISTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,75,75
CABEZAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,49,49
CAIROMA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,217,217
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,92,92
CAJUATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,60,60
CALACOTO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,75,75
CALAMARCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,95,95
CAMARGO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,159,159
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,41,41
CAMIRI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,1022,1022
CAPINOTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,86,86
CAQUIAVIRI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,66,66
CARACOLLO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,42,42
CARANAVI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,329,329
CARAPARI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,425,425
CARIPUYO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,121,121
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,14,14
CATACORA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,13,13
CHALLAPATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,421,421
CHAQUI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,11,11
CHARAGUA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,332,332
CHARAÑA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,24,24
CHAYANTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,96,96
CHIMORE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,91,91
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,231,231
CHUMA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,195,195
CLIZA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,314,314
COBIJA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,647,647
COCHABAMBA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,6314,6314
COIPASA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,4,4
COLCAPIRHUA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,231,231
"COLCHA ""K""",atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,44,44
COLLANA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,8,8
COLOMI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,72,72
COLPA BELGICA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,143,143
COLQUECHACA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,134,134
COLQUENCHA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,64,64
COLQUIRI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,157,157
COMANCHE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,51,51
COMARAPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,381,381
COMBAYA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,8,8
CONCEPCION,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,143,143
COPACABANA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,77,77
CORIPATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,135,135
CORO CORO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,58,58
COROICO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,299,299
CORQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,70,70
COTAGAITA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,24,24
COTOCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,40,40
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,30,30
CUEVO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,95,95
CULPINA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,171,171
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,139,139
CURVA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,8,8
DESAGUADERO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,143,143
EL ALTO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,11107,11107
EL PUENTE(STC),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,69,69
EL PUENTE(TJA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,219,219
EL TORNO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,214,214
EL VILLAR,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,17,17
ENTRE RIOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,39,39
ENTRE RIOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,330,330
EUCALIPTUS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,92,92
FERNANDEZ ALONSO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,143,143
FILADELFIA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,43,43
GENERAL SAAVEDRA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,85,85
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,124,124
GUANAY,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,153,153
GUAQUI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,145,145
GUAYARAMERIN,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,595,595
GUTIERREZ,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,140,140
HUACARETA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,83,83
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,6,6
HUACHACALLA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,104,104
HUANUNI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,442,442
HUARACAJE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,40,40
HUAYLLAMARCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2008-01-01,27,27
