municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vi,TOTAL
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,44,44
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,29,29
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,13,13
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,21,21
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,10,10
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,24,24
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,57,57
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,9,9
AUCAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,13,13
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,33,33
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,11,11
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,43,43
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,39,39
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,11,11
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,2,2
BOYUIBE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,20,20
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,14,14
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,8,8
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,11,11
CALACOTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,13,13
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,37,37
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,29,29
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,6,6
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,18,18
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,96,96
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
CATACORA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,3,3
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,33,33
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,7,7
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,50,50
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,5,5
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,17,17
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2008-01-01,15,15
