municipality,group,variable,month,N° de Quimioprofilaxis en menores de 5,TOTAL
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,15,15
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,19,19
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,2,2
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,4,4
PUNATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,6,6
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,0,0
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,4,4
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,3,3
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-01-01,12,12
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,4,4
CAPINOTA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,3,3
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
CHALLAPATA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,12,12
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,10,10
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,5,5
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,5,5
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,8,8
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,9,9
RURRENABAQUE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
SAN LORENZO(TJA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,3,3
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,10,10
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
TINGUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,4,4
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
VALLEGRANDE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,5,5
YANACACHI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-02-01,1,1
AIQUILE,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,3,3
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,3,3
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5,2008-03-01,1,1
