municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicio,cesareas,2009-01-01,2,2
AIQUILE,atencion de partos en servicio,cesareas,2009-01-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2009-01-01,8,8
AZURDUY,atencion de partos en servicio,cesareas,2009-01-01,1,1
BAURES,atencion de partos en servicio,cesareas,2009-01-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2009-01-01,28,28
CAMARGO,atencion de partos en servicio,cesareas,2009-01-01,4,4
CAMIRI,atencion de partos en servicio,cesareas,2009-01-01,23,23
CARANAVI,atencion de partos en servicio,cesareas,2009-01-01,18,18
CHALLAPATA,atencion de partos en servicio,cesareas,2009-01-01,7,7
CHARAGUA,atencion de partos en servicio,cesareas,2009-01-01,12,12
COBIJA,atencion de partos en servicio,cesareas,2009-01-01,34,34
COCHABAMBA,atencion de partos en servicio,cesareas,2009-01-01,646,646
COLCAPIRHUA,atencion de partos en servicio,cesareas,2009-01-01,12,12
COMARAPA,atencion de partos en servicio,cesareas,2009-01-01,7,7
CONCEPCION,atencion de partos en servicio,cesareas,2009-01-01,7,7
COROICO,atencion de partos en servicio,cesareas,2009-01-01,8,8
COTAGAITA,atencion de partos en servicio,cesareas,2009-01-01,1,1
COTOCA,atencion de partos en servicio,cesareas,2009-01-01,2,2
CULPINA,atencion de partos en servicio,cesareas,2009-01-01,3,3
EL ALTO,atencion de partos en servicio,cesareas,2009-01-01,213,213
EL TORNO,atencion de partos en servicio,cesareas,2009-01-01,2,2
GUAYARAMERIN,atencion de partos en servicio,cesareas,2009-01-01,22,22
LA PAZ,atencion de partos en servicio,cesareas,2009-01-01,520,520
LLALLAGUA,atencion de partos en servicio,cesareas,2009-01-01,8,8
MAGDALENA,atencion de partos en servicio,cesareas,2009-01-01,3,3
MAIRANA,atencion de partos en servicio,cesareas,2009-01-01,8,8
MONTEAGUDO,atencion de partos en servicio,cesareas,2009-01-01,11,11
MONTERO,atencion de partos en servicio,cesareas,2009-01-01,95,95
OCURI,atencion de partos en servicio,cesareas,2009-01-01,1,1
ORURO,atencion de partos en servicio,cesareas,2009-01-01,188,188
PADILLA,atencion de partos en servicio,cesareas,2009-01-01,6,6
PATACAMAYA,atencion de partos en servicio,cesareas,2009-01-01,2,2
PORTACHUELO,atencion de partos en servicio,cesareas,2009-01-01,26,26
POTOSI,atencion de partos en servicio,cesareas,2009-01-01,84,84
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2009-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2009-01-01,12,12
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2009-01-01,15,15
PUNATA,atencion de partos en servicio,cesareas,2009-01-01,16,16
QUILLACOLLO,atencion de partos en servicio,cesareas,2009-01-01,27,27
REYES,atencion de partos en servicio,cesareas,2009-01-01,1,1
RIBERALTA,atencion de partos en servicio,cesareas,2009-01-01,50,50
ROBORE,atencion de partos en servicio,cesareas,2009-01-01,3,3
RURRENABAQUE,atencion de partos en servicio,cesareas,2009-01-01,8,8
SACABA,atencion de partos en servicio,cesareas,2009-01-01,16,16
SAMAIPATA,atencion de partos en servicio,cesareas,2009-01-01,2,2
SAN BORJA,atencion de partos en servicio,cesareas,2009-01-01,16,16
SAN BUENA VENTURA,atencion de partos en servicio,cesareas,2009-01-01,4,4
SAN CARLOS,atencion de partos en servicio,cesareas,2009-01-01,7,7
SAN IGNACIO,atencion de partos en servicio,cesareas,2009-01-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en servicio,cesareas,2009-01-01,26,26
SAN JAVIER(STC),atencion de partos en servicio,cesareas,2009-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,cesareas,2009-01-01,15,15
SAN JUAN DE YAPACANI,atencion de partos en servicio,cesareas,2009-01-01,3,3
SAN JULIAN,atencion de partos en servicio,cesareas,2009-01-01,13,13
SAN LUCAS,atencion de partos en servicio,cesareas,2009-01-01,3,3
SAN MATIAS,atencion de partos en servicio,cesareas,2009-01-01,4,4
SAN RAMON,atencion de partos en servicio,cesareas,2009-01-01,1,1
SAN RAMON,atencion de partos en servicio,cesareas,2009-01-01,2,2
SANTA ANA,atencion de partos en servicio,cesareas,2009-01-01,9,9
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,cesareas,2009-01-01,1363,1363
SOPACHUY,atencion de partos en servicio,cesareas,2009-01-01,2,2
SUCRE,atencion de partos en servicio,cesareas,2009-01-01,164,164
TARABUCO,atencion de partos en servicio,cesareas,2009-01-01,1,1
TARIJA,atencion de partos en servicio,cesareas,2009-01-01,141,141
TIRAQUE (CBBA),atencion de partos en servicio,cesareas,2009-01-01,7,7
TRINIDAD,atencion de partos en servicio,cesareas,2009-01-01,46,46
TUPIZA,atencion de partos en servicio,cesareas,2009-01-01,4,4
UNCIA,atencion de partos en servicio,cesareas,2009-01-01,5,5
UYUNI,atencion de partos en servicio,cesareas,2009-01-01,17,17
VALLEGRANDE,atencion de partos en servicio,cesareas,2009-01-01,8,8
VILLA MONTES,atencion de partos en servicio,cesareas,2009-01-01,16,16
VILLA TUNARI,atencion de partos en servicio,cesareas,2009-01-01,11,11
VILLAZON,atencion de partos en servicio,cesareas,2009-01-01,7,7
VINTO,atencion de partos en servicio,cesareas,2009-01-01,1,1
WARNES,atencion de partos en servicio,cesareas,2009-01-01,16,16
YACUIBA,atencion de partos en servicio,cesareas,2009-01-01,47,47
YAPACANI,atencion de partos en servicio,cesareas,2009-01-01,6,6
YOTALA,atencion de partos en servicio,cesareas,2009-01-01,1,1
AIQUILE,atencion de partos en servicio,cesareas,2009-02-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2009-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2009-02-01,1,1
BAURES,atencion de partos en servicio,cesareas,2009-02-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2009-02-01,15,15
CAMARGO,atencion de partos en servicio,cesareas,2009-02-01,4,4
CAMIRI,atencion de partos en servicio,cesareas,2009-02-01,30,30
CARANAVI,atencion de partos en servicio,cesareas,2009-02-01,6,6
CHALLAPATA,atencion de partos en servicio,cesareas,2009-02-01,4,4
CHARAGUA,atencion de partos en servicio,cesareas,2009-02-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2009-02-01,2,2
COBIJA,atencion de partos en servicio,cesareas,2009-02-01,38,38
COCHABAMBA,atencion de partos en servicio,cesareas,2009-02-01,540,540
COLCAPIRHUA,atencion de partos en servicio,cesareas,2009-02-01,10,10
COMARAPA,atencion de partos en servicio,cesareas,2009-02-01,5,5
CONCEPCION,atencion de partos en servicio,cesareas,2009-02-01,10,10
COROICO,atencion de partos en servicio,cesareas,2009-02-01,5,5
COTOCA,atencion de partos en servicio,cesareas,2009-02-01,8,8
CULPINA,atencion de partos en servicio,cesareas,2009-02-01,2,2
EL ALTO,atencion de partos en servicio,cesareas,2009-02-01,217,217
EL TORNO,atencion de partos en servicio,cesareas,2009-02-01,9,9
GUAYARAMERIN,atencion de partos en servicio,cesareas,2009-02-01,24,24
LA PAZ,atencion de partos en servicio,cesareas,2009-02-01,477,477
LLALLAGUA,atencion de partos en servicio,cesareas,2009-02-01,1,1
MAGDALENA,atencion de partos en servicio,cesareas,2009-02-01,6,6
MAIRANA,atencion de partos en servicio,cesareas,2009-02-01,10,10
MONTEAGUDO,atencion de partos en servicio,cesareas,2009-02-01,8,8
MONTERO,atencion de partos en servicio,cesareas,2009-02-01,82,82
ORURO,atencion de partos en servicio,cesareas,2009-02-01,170,170
PATACAMAYA,atencion de partos en servicio,cesareas,2009-02-01,3,3
PORTACHUELO,atencion de partos en servicio,cesareas,2009-02-01,22,22
POTOSI,atencion de partos en servicio,cesareas,2009-02-01,59,59
PUERTO ACOSTA,atencion de partos en servicio,cesareas,2009-02-01,1,1
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2009-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2009-02-01,15,15
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2009-02-01,10,10
PUNATA,atencion de partos en servicio,cesareas,2009-02-01,18,18
QUILLACOLLO,atencion de partos en servicio,cesareas,2009-02-01,19,19
REYES,atencion de partos en servicio,cesareas,2009-02-01,4,4
RIBERALTA,atencion de partos en servicio,cesareas,2009-02-01,61,61
ROBORE,atencion de partos en servicio,cesareas,2009-02-01,9,9
RURRENABAQUE,atencion de partos en servicio,cesareas,2009-02-01,4,4
SACABA,atencion de partos en servicio,cesareas,2009-02-01,28,28
SAN BORJA,atencion de partos en servicio,cesareas,2009-02-01,7,7
SAN BUENA VENTURA,atencion de partos en servicio,cesareas,2009-02-01,4,4
SAN CARLOS,atencion de partos en servicio,cesareas,2009-02-01,10,10
SAN IGNACIO,atencion de partos en servicio,cesareas,2009-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicio,cesareas,2009-02-01,16,16
SAN JAVIER(STC),atencion de partos en servicio,cesareas,2009-02-01,3,3
SAN JOAQUIN,atencion de partos en servicio,cesareas,2009-02-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,cesareas,2009-02-01,10,10
SAN JUAN DE YAPACANI,atencion de partos en servicio,cesareas,2009-02-01,2,2
SAN JULIAN,atencion de partos en servicio,cesareas,2009-02-01,10,10
SAN LUCAS,atencion de partos en servicio,cesareas,2009-02-01,2,2
SAN RAMON,atencion de partos en servicio,cesareas,2009-02-01,2,2
SAN RAMON,atencion de partos en servicio,cesareas,2009-02-01,6,6
SANTA ANA,atencion de partos en servicio,cesareas,2009-02-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,cesareas,2009-02-01,1239,1239
SANTA ROSA,atencion de partos en servicio,cesareas,2009-02-01,2,2
SUCRE,atencion de partos en servicio,cesareas,2009-02-01,146,146
TARABUCO,atencion de partos en servicio,cesareas,2009-02-01,1,1
TARIJA,atencion de partos en servicio,cesareas,2009-02-01,121,121
TRINIDAD,atencion de partos en servicio,cesareas,2009-02-01,57,57
TUPIZA,atencion de partos en servicio,cesareas,2009-02-01,4,4
UNCIA,atencion de partos en servicio,cesareas,2009-02-01,6,6
UYUNI,atencion de partos en servicio,cesareas,2009-02-01,13,13
VALLEGRANDE,atencion de partos en servicio,cesareas,2009-02-01,13,13
VILLA MONTES,atencion de partos en servicio,cesareas,2009-02-01,26,26
VILLA TUNARI,atencion de partos en servicio,cesareas,2009-02-01,6,6
VILLAZON,atencion de partos en servicio,cesareas,2009-02-01,5,5
WARNES,atencion de partos en servicio,cesareas,2009-02-01,18,18
YACUIBA,atencion de partos en servicio,cesareas,2009-02-01,45,45
YAPACANI,atencion de partos en servicio,cesareas,2009-02-01,6,6
YOTALA,atencion de partos en servicio,cesareas,2009-02-01,1,1
AIQUILE,atencion de partos en servicio,cesareas,2009-03-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2009-03-01,4,4
AZURDUY,atencion de partos en servicio,cesareas,2009-03-01,1,1
BAURES,atencion de partos en servicio,cesareas,2009-03-01,3,3
BERMEJO,atencion de partos en servicio,cesareas,2009-03-01,13,13
BETANZOS,atencion de partos en servicio,cesareas,2009-03-01,2,2
CAMARGO,atencion de partos en servicio,cesareas,2009-03-01,8,8
CAMIRI,atencion de partos en servicio,cesareas,2009-03-01,37,37
CARANAVI,atencion de partos en servicio,cesareas,2009-03-01,9,9
CHALLAPATA,atencion de partos en servicio,cesareas,2009-03-01,4,4
CHARAGUA,atencion de partos en servicio,cesareas,2009-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2009-03-01,3,3
COBIJA,atencion de partos en servicio,cesareas,2009-03-01,46,46
COCHABAMBA,atencion de partos en servicio,cesareas,2009-03-01,582,582
COLCAPIRHUA,atencion de partos en servicio,cesareas,2009-03-01,20,20
COMARAPA,atencion de partos en servicio,cesareas,2009-03-01,9,9
CONCEPCION,atencion de partos en servicio,cesareas,2009-03-01,9,9
COROICO,atencion de partos en servicio,cesareas,2009-03-01,11,11
COTOCA,atencion de partos en servicio,cesareas,2009-03-01,9,9
CULPINA,atencion de partos en servicio,cesareas,2009-03-01,1,1
EL ALTO,atencion de partos en servicio,cesareas,2009-03-01,218,218
EL TORNO,atencion de partos en servicio,cesareas,2009-03-01,5,5
