municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,10,10
ACHACACHI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,60,60
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,10,10
AIQUILE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,48,48
ALALAY,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
ALCALA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,1,1
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,15,15
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
ANZALDO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
APOLO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,17,17
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
ARANI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,14,14
ARBIETO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,12,12
ARQUE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,14,14
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,15,15
ATOCHA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
AUCAPATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
AYATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,12,12
AYO AYO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,30,30
AZURDUY,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,19,19
BATALLAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,22,22
BELEN DE URMIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,1,1
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
BERMEJO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,48,48
BETANZOS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,39,39
BOLIVAR,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,3,3
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,1,1
BOYUIBE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,20,20
CABEZAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,12,12
CAIROMA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,23,23
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
CAJUATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,16,16
CALACOTO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,1,1
CALAMARCA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,11,11
CAMARGO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
CAMIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,75,75
CAPINOTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,25,25
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,10,10
CARACOLLO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,24,24
CARANAVI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,54,54
CARAPARI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,16,16
CARIPUYO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,10,10
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,6,6
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,50,50
CHAQUI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
CHARAGUA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,73,73
CHARAÑA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,1,1
CHAYANTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,24,24
CHIMORE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,24,24
CHIPAYA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,25,25
CHUMA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,11,11
CLIZA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,23,23
COBIJA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,107,107
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,481,481
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,31,31
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,9,9
COLLANA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
COLOMI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,26,26
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,6,6
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,66,66
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,11,11
COLQUIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,31,31
COMANCHE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
COMARAPA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,33,33
COMBAYA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,3,3
COPACABANA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,18,18
CORIPATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,11,11
CORO CORO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
COROICO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
CORQUE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,11,11
COTAGAITA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,30,30
COTOCA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,41,41
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
CUEVO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,6,6
CULPINA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,28,28
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,4,4
CURVA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,2,2
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,8,8
EL ALTO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,733,733
EL CHORO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,6,6
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,9,9
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,19,19
EL TORNO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,50,50
EL VILLAR,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2009-01-01,7,7
