,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,2,0,2,0,2
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,0,2,0,2,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,2,2,2,2,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-01-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,2,1,2,1,3
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,3,5,3,5,8
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-02-01,0,3,0,3,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,2,0,2,0,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,2,0,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,1,1,1,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,0,4,0,4,4
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,2,0,2,0,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-03-01,0,1,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,0,1,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
