,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,11,65,60,72,71,143
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,29,22,126,134,155,156,311
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,3,34,35,41,38,79
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,17,30,145,122,162,152,314
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,8,17,17,22,25,47
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,70,74,0,0,70,74,144
ALTO BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,11,33,40,38,51,89
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,4,68,73,68,77,145
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,5,64,55,66,60,126
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,2,30,26,31,28,59
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,5,43,62,48,67,115
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,15,92,102,104,117,221
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,2,48,48,51,50,101
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,21,14,85,64,106,78,184
