,group,variable,month,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,3,0,3
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,12,15,27
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,2,2,4
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,1,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,8,12,20
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,4,8,12
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,2,4,6
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,5,8,13
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,2,3
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,2,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,2,1,3
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,36,74,110
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,8,18,26
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,1,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,9,11,20
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,23,13,36
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,3,7,10
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,8,16,24
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,92,155,247
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,8,4,12
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,2,4,6
