,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,n de personas con prueba rapida,2013-01-01,1,4,5
ACHACACHI,vih,n de personas con prueba rapida,2013-01-01,13,2,15
AIQUILE,vih,n de personas con prueba rapida,2013-01-01,1,80,81
APOLO,vih,n de personas con prueba rapida,2013-01-01,0,20,20
ARAMPAMPA,vih,n de personas con prueba rapida,2013-01-01,0,1,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-01-01,14,46,60
AZURDUY,vih,n de personas con prueba rapida,2013-01-01,0,20,20
BERMEJO,vih,n de personas con prueba rapida,2013-01-01,6,6,12
BETANZOS,vih,n de personas con prueba rapida,2013-01-01,5,2,7
BOLPEBRA,vih,n de personas con prueba rapida,2013-01-01,13,1,14
BUENA VISTA,vih,n de personas con prueba rapida,2013-01-01,1,23,24
CABEZAS,vih,n de personas con prueba rapida,2013-01-01,5,1,6
"CAIZA ""D""",vih,n de personas con prueba rapida,2013-01-01,0,4,4
CAMARGO,vih,n de personas con prueba rapida,2013-01-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-01-01,3,3,6
CAMIRI,vih,n de personas con prueba rapida,2013-01-01,19,151,170
CARACOLLO,vih,n de personas con prueba rapida,2013-01-01,7,42,49
CARAPARI,vih,n de personas con prueba rapida,2013-01-01,1,36,37
CARMEN RIVERO TORREZ,vih,n de personas con prueba rapida,2013-01-01,10,0,10
CHALLAPATA,vih,n de personas con prueba rapida,2013-01-01,0,133,133
CHARAGUA,vih,n de personas con prueba rapida,2013-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-01-01,2,5,7
CHUMA,vih,n de personas con prueba rapida,2013-01-01,2,0,2
CLIZA,vih,n de personas con prueba rapida,2013-01-01,1,3,4
COBIJA,vih,n de personas con prueba rapida,2013-01-01,2,58,60
COCHABAMBA,vih,n de personas con prueba rapida,2013-01-01,77,516,593
COLPA BELGICA,vih,n de personas con prueba rapida,2013-01-01,2,5,7
COMARAPA,vih,n de personas con prueba rapida,2013-01-01,0,26,26
CORO CORO,vih,n de personas con prueba rapida,2013-01-01,3,20,23
COROICO,vih,n de personas con prueba rapida,2013-01-01,1,61,62
COTAGAITA,vih,n de personas con prueba rapida,2013-01-01,0,1,1
COTOCA,vih,n de personas con prueba rapida,2013-01-01,4,0,4
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-01-01,0,13,13
EL ALTO,vih,n de personas con prueba rapida,2013-01-01,218,1124,1342
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-01-01,12,28,40
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-01-01,0,3,3
EL TORNO,vih,n de personas con prueba rapida,2013-01-01,42,73,115
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-01-01,12,61,73
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2013-01-01,0,1,1
ESCOMA,vih,n de personas con prueba rapida,2013-01-01,1,3,4
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-01-01,0,1,1
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-01-01,4,5,9
FILADELFIA,vih,n de personas con prueba rapida,2013-01-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2013-01-01,2,5,7
GUANAY,vih,n de personas con prueba rapida,2013-01-01,1,1,2
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-01-01,221,228,449
GUTIERREZ,vih,n de personas con prueba rapida,2013-01-01,0,26,26
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-01-01,2,6,8
HUANUNI,vih,n de personas con prueba rapida,2013-01-01,6,9,15
ICLA,vih,n de personas con prueba rapida,2013-01-01,4,2,6
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-01-01,0,2,2
INQUISIVI,vih,n de personas con prueba rapida,2013-01-01,0,1,1
LA GUARDIA,vih,n de personas con prueba rapida,2013-01-01,3,63,66
LA PAZ,vih,n de personas con prueba rapida,2013-01-01,284,1492,1776
