,group,variable,month,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,2.0,3.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,5.0,0.0,5.0
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,7.0,5.0,12.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,3.0,1.0,4.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,7.0,5.0,12.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,67.0,45.0,112.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,2.0,3.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,2.0,0.0,2.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,21.0,15.0,36.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,2.0,3.0,5.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,4.0,3.0,7.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,55.0,37.0,92.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,5.0,8.0,13.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,2.0,2.0,4.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,2.0,2.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,4.0,2.0,6.0
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,1.0,2.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,4.0,4.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,3.0,4.0,7.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,1.0,2.0
