,group,variable,month,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTAL 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-01-01,1,1,0,0,1,1,2
BAURES,malaria,      numero de tratamientos especificos dispensados,2014-01-01,2,0,0,0,2,0,2
ENTRE RIOS TRJ,malaria,      numero de tratamientos especificos dispensados,2014-01-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos especificos dispensados,2014-01-01,6,4,0,0,6,4,10
GUAYARAMERIN,malaria,      numero de tratamientos especificos dispensados,2014-01-01,28,21,7,11,35,32,67
HUACARETA,malaria,      numero de tratamientos especificos dispensados,2014-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,      numero de tratamientos especificos dispensados,2014-01-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de tratamientos especificos dispensados,2014-01-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos especificos dispensados,2014-01-01,4,7,0,0,4,7,11
REYES,malaria,      numero de tratamientos especificos dispensados,2014-01-01,0,0,1,0,1,0,1
RIBERALTA,malaria,      numero de tratamientos especificos dispensados,2014-01-01,39,15,0,0,39,15,54
SANTA CRUZ DE LA SIERRA,malaria,      numero de tratamientos especificos dispensados,2014-01-01,0,0,0,0,0,0,0
TARVITA,malaria,      numero de tratamientos especificos dispensados,2014-01-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos especificos dispensados,2014-01-01,1,0,0,0,1,0,1
YACUIBA,malaria,      numero de tratamientos especificos dispensados,2014-01-01,2,0,0,0,2,0,2
AZURDUY,malaria,      numero de tratamientos especificos dispensados,2014-02-01,5,2,0,0,5,2,7
