,group,variable,month,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,2,2
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,2,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,4,8
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,14,0,14
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,8,9
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,6,3,9
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,173,0,173
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,2,7
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,58,78,136
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,1,3
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,7,3,10
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,0,5
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,2,7
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,0,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,23,0,23
LA RIVERA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,1,2
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,19,19
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,2,3
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,33,4,37
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,4,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,8,12
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,10,15
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,7,7
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
PORCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,16,0,16
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,2,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,6,0,6
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,9,9
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,19,14,33
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,19,4,23
ROBORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,11,0,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,6,0,6
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,7,0,7
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,5,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,82,0,82
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,0,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,0,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,10,10
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,0,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,4,7
TARATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,10,6,16
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
