municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,9,9
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,37,37
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,27,27
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,41,41
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,2,2
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,20,20
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,22,22
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,8,8
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,11,11
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,25,25
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,5,5
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,21,21
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,33,33
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,95,95
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,20,20
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,6,6
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,14,14
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,28,28
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,21,21
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,26,26
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,11,11
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,25,25
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,38,38
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,23,23
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,56,56
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,13,13
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,13,13
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,12,12
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,9,9
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,21,21
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,26,26
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,5,5
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,66,66
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,48,48
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,5,5
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,42,42
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,96,96
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,33,33
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,13,13
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,16,16
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,58,58
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,14,14
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,89,89
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,26,26
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,58,58
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,4,4
CHOQUE COTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,24,24
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,9,9
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,16,16
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,62,62
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,125,125
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,27,27
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,759,759
COIPASA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,2,2
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,62,62
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,26,26
COLLANA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,2,2
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,36,36
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,5,5
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,63,63
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,13,13
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2015-01-01,12,12
