municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,42,42
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,30,30
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,49,49
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,8,8
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,19,19
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,28,28
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,3,3
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,7,7
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,31,31
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,2,2
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,45,45
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,73,73
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,11,11
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,5,5
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,15,15
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,34,34
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,20,20
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,25,25
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,15,15
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,3,3
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,8,8
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,72,72
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,51,51
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,4,4
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,10,10
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,4,4
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,35,35
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,1,1
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,22,22
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,6,6
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,12,12
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,26,26
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,53,53
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,45,45
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,12,12
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,34,34
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,72,72
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,33,33
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,4,4
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,2,2
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2016-01-01,50,50
