,group,variable,month,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,10,20,45,25,55,80
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,6,21,1,8,7,29,36
AIQUILE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,10,8,0,1,10,9,19
ALALAY,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,1,2,1,2,3
ALTO BENI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,4,42,28,47,32,79
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,11,0,1,2,12,14
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,1,0,0,0,1,1
ANTEQUERA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,1,6,1,7,2,9
ANZALDO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,0,15,24,15,24,39
APOLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,7,0,0,1,7,8
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,5,6,2,4,7,10,17
ARANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,6,4,0,6,6,12
ARBIETO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,4,8,6,24,10,32,42
ARQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,7,0,0,1,7,8
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,0,20,1,17,1,37,38
ATOCHA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,2,15,0,0,2,15,17
AYATA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2016-01-01,1,5,0,6,1,11,12
