municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
CHUA COCANI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,5,5
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,14,14
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,2,2
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,2,2
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,28,28
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,10,10
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,5,5
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,8,8
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,8,8
TARATA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,29,29
TOLATA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,4,4
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,4,4
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
YUNCHARA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,8,8
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,8,8
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,7,7
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
MINEROS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,6,6
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,3,3
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,9,9
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,196,196
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,5,5
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,7,7
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,28,28
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,49,49
TOLATA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
YACUIBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,1,1
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,10,10
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-02-01,3,3
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,53,53
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
CAMIRI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
"COLCHA ""K""",refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,9,9
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,18,18
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,4,4
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,17,17
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,16,16
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,24,24
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,10,10
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,16,16
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,51,51
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,12,12
SACABA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,18,18
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,5,5
