,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,6,7,0,0,6,7,13
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,2,0,14,1,16,1,17
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,4,7,0,0,4,7,11
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,1,1,23,0,24,1,25
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,1,0,0,0,1,0,1
RAVELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,1,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,1,1,7,1,8,2,10
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,3,8,0,0,3,8,11
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
