,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
RIBERALTA,malaria,mujer embarazada,2021-01-01,0,5,0,0,0,5,5
SAN LORENZO(PND),malaria,mujer embarazada,2021-01-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2021-01-01,0,3,0,0,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2021-01-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2021-02-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2021-02-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2021-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-02-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2021-03-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,mujer embarazada,2021-03-01,0,1,0,0,0,1,1
SUCRE,malaria,mujer embarazada,2021-03-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2021-04-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2021-04-01,0,3,0,0,0,3,3
RIBERALTA,malaria,mujer embarazada,2021-04-01,0,2,0,1,0,3,3
SENA,malaria,mujer embarazada,2021-04-01,0,2,0,0,0,2,2
SUCRE,malaria,mujer embarazada,2021-04-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2021-04-01,0,1,0,1,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2021-05-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,mujer embarazada,2021-05-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2021-05-01,0,3,0,0,0,3,3
REYES,malaria,mujer embarazada,2021-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-05-01,0,4,0,0,0,4,4
SENA,malaria,mujer embarazada,2021-05-01,0,1,0,0,0,1,1
SOPACHUY,malaria,mujer embarazada,2021-05-01,0,3,0,0,0,3,3
