,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,0,0,2,2,4,0,10,8,1,2,0,0,0,0,29
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,0,0,0,0,0,0,2,2,2,0,0,0,0,0,6
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,1,0,0,0,0,1,0,4,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2022-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
