,group,variable,month,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,0,4,0,4,4
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,2,0,2,0,2
COTOCA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,0,1,0,1
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,3,1,3,1,4
HUACARETA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,2,0,2,0,2
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,0,1,0,1
MONTEAGUDO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,0,1,0,1
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,3,1,3,4
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,2,0,2,0,2
SAN RAFAEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,1,0,1,0,1
SENA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,3,0,3,0,3
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-01-01,4,1,4,1,5
ASCENCION DE GUARAYOS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,0,2,0,2
CABEZAS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,0,2,0,2
CARANAVI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,1,1,1,1,2
COROICO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,0,1,0,1,1
COTOCA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,1,0,1,0,1
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,1,1,1,1,2
MONTEAGUDO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,1,2,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,0,1,0,1,1
PORONGO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,2,2,2,4
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,1,2,1,3
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,0,1,0,1,1
SAN IGNACIO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,2,0,2,0,2
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-02-01,6,4,6,4,10
