,group,variable,month,17. RN CON APEGO PRECOZ SERV/DOM,17. RN CON APEGO PRECOZ SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ACACIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,33,15,33,15,48
AIQUILE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,21,0,21,0,21
ALALAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
ALCALA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
ANCORAIMES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,6,0,6,6
ANDAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,2,1,2,3
ANZALDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
APOLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,13,6,13,6,19
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
ARANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
ARBIETO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,0,7,0,7
ARQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,7,3,7,10
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3131,0,3131,0,3131
ATOCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
AUCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,5,0,5,5
AYATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,4,3,4,7
AYO AYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,4,12,4,16
AZURDUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,2,6,2,8
BATALLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,6,8,6,14
BAURES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
BERMEJO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,9,0,9,0,9
BETANZOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,17,1,17,1,18
BOLIVAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,6,1,6,7
BOYUIBE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
CABEZAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
CAIROMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,6,1,6,7
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
CAJUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,2,5,2,7
CALACOTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
CAMARGO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,19,0,19,0,19
CAMIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,30,0,30,0,30
CAPINOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,16,0,16,0,16
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,6,1,6,7
CARACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,4,8,4,12
CARANAVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,69,2,69,2,71
CARAPARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,0,7,0,7
CARIPUYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
CATACORA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
CHACARILLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,36,1,36,1,37
CHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,0,5,0,5
CHARAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,28,2,28,2,30
CHARAÑA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,3,0,3,3
CHAYANTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,13,4,13,4,17
CHIMORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,25,0,25,0,25
CHIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
CHUA COCANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
CHUMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,7,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,10,0,10,0,10
CKOCHAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,17,6,17,23
CLIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,23,0,23,0,23
COBIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,59,0,59,0,59
COCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,10,7,10,17
COCHABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,907,0,907,0,907
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,30,0,30,0,30
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,4,5,4,9
COLLANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,18,0,18,0,18
COLPA BELGICA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,0,6,0,6
COLQUECHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,16,12,16,28
COLQUENCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,2,0,2,2
COLQUIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,15,3,15,18
COMANCHE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,20,0,20,0,20
CONCEPCION,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,25,1,25,1,26
CORIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,1,12,1,13
CORO CORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
COROICO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,13,1,13,1,14
CORQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,3,8,3,11
COTOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,61,4,61,4,65
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,22,0,22,0,22
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
CULPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,5,6,5,11
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
DESAGUADERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,504,39,504,39,543
EL CHORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,2,0,2,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,1,3,1,4
EL TORNO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,46,0,46,0,46
EL VILLAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,1,3,1,4
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,24,0,24,0,24
ESCOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,2,3,2,5
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
FILADELFIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
GIA-TIM,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,4,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,14,0,14,14
GUANAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,1,12,1,13
GUAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,57,0,57,0,57
GUTIERREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,0,6,0,6
HUACARAJE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
HUACHACALLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,16,1,16,1,17
HUARINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,3,1,3,4
HUATAJATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,7,2,7,9
ICHOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,5,5,5,10
INCAHUASI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,8,5,8,13
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
INQUISIVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,16,4,16,20
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,3,3,3,6
IXIAMAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,0,7,0,7
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
LA ASUNTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,50,1,50,1,51
LA GUARDIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,80,0,80,0,80
LA PAZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,868,3,868,3,871
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
LAJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,7,2,7,9
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
LLALLAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,53,7,53,7,60
LLICA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
LORETO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,0,5,0,5
MACHACAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
MAIRANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,15,1,15,1,16
MAPIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,13,0,13,0,13
MECAPACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
MINEROS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,0,12,0,12
MIZQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,20,1,20,1,21
MOCOMOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,4,0,4,4
MOJOCOYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,0,5,0,5
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,15,0,15,0,15
MONTERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,20,0,20,0,20
MOROCHATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,5,3,5,8
